class	count	class;label	percentage
Q5	7622	'human'@en	28.89%
Q3947	2333	'house'@en	8.84%
Q41176	1617	'building'@en	6.13%
Q23413	1043	'castle'@en	3.95%
Q33506	636	'museum'@en	2.41%
Q11303	601	'skyscraper'@en	2.28%
Q1343246	596	'English country house'@en	2.26%
Q3305213	564	'painting'@en	2.14%
Q1307276	459	'single-family detached home'@en	1.74%
Q27686	427	'hotel'@en	1.62%
Q207694	413	'art museum'@en	1.57%
Q860861	374	'sculpture'@en	1.42%
Q811979	363	'architectural structure'@en	1.38%
Q16970	313	'church building'@en	1.19%
Q839954	274	'archaeological site'@en	1.04%
Q15243209	235	'historic district'@en	0.89%
Q2087181	220	'historic house museum'@en	0.83%
Q879050	215	'manor house'@en	0.82%
Q655686	212	'commercial building'@en	0.8%
Q174782	212	'square'@en	0.8%
Q543654	199	'rathaus'@en	0.75%
Q486972	198	'human settlement'@en	0.75%
Q751876	185	'château'@en	0.7%
Q5773747	157	'historic house'@en	0.6%
Q18142	152	'high-rise building'@en	0.58%
Q1007870	145	'art gallery'@en	0.55%
Q2750108	136	'priory'@en	0.52%
Q2065736	127	'cultural property'@en	0.48%
Q13406463	124	'Wikimedia list article'@en	0.47%
Q842402	116	'Hindu temple'@en	0.44%
Q532	116	'village'@en	0.44%
Q1244442	113	'school building'@en	0.43%
Q17715832	112	'castle ruin'@en	0.42%
Q381885	107	'tomb'@en	0.41%
Q1021645	106	'office building'@en	0.4%
Q484170	96	'commune of France'@en	0.36%
Q811430	88	'human-made geographic feature'@en	0.33%
Q16560	86	'palace'@en	0.33%
Q4830453	83	'business'@en	0.31%
Q262166	81	'municipality of Germany'@en	0.31%
Q4387609	80	'architectural firm'@en	0.3%
Q91312	77	'tower house'@en	0.29%
Q92026	74	'Japanese castle'@en	0.28%
Q16521	72	'taxon'@en	0.27%
Q5393308	69	'Buddhist temple'@en	0.26%
Q1595639	66	'local museum'@en	0.25%
Q968159	65	'art movement'@en	0.25%
Q79007	64	'street'@en	0.24%
Q179700	64	'statue'@en	0.24%
Q12518	64	'tower'@en	0.24%
Q4989906	61	'monument'@en	0.23%
Q109607	61	'ruins'@en	0.23%
Q3950	58	'villa'@en	0.22%
Q1497375	58	'architectural ensemble'@en	0.22%
Q1802963	56	'mansion'@en	0.21%
Q108325	56	'chapel'@en	0.21%
Q7725634	54	'literary work'@en	0.2%
Q2772772	54	'military museum'@en	0.2%
Q3914	52	'school'@en	0.2%
Q7075	49	'library'@en	0.19%
Q42744322	49	'urban municipality of Germany'@en	0.19%
Q32880	48	'architectural style'@en	0.18%
Q101352	48	'family name'@en	0.18%
Q16884952	47	'country house'@en	0.18%
Q163740	47	'nonprofit organization'@en	0.18%
Q667509	46	'municipality of Austria'@en	0.17%
Q1406161	46	'artistic theme'@en	0.17%
Q1568283	45	'milecastle'@en	0.17%
Q43229	44	'organization'@en	0.17%
Q38720	43	'windmill'@en	0.16%
Q18340514	43	'events in a specific year or time period'@en	0.16%
Q44539	42	'temple'@en	0.16%
Q3957	42	'town'@en	0.16%
Q11424	42	'film'@en	0.16%
Q180174	41	'folly'@en	0.16%
Q13402009	41	'apartment building'@en	0.16%
Q483453	39	'fountain'@en	0.15%
Q220659	39	'archaeological artifact'@en	0.15%
Q14752696	39	'ancient Roman structure'@en	0.15%
Q570116	38	'tourist attraction'@en	0.14%
Q44613	38	'monastery'@en	0.14%
Q1131296	38	'freguesia of Portugal'@en	0.14%
Q1440300	36	'observation tower'@en	0.14%
Q64037785	35	'county courthouse'@en	0.13%
Q55488	35	'railway station'@en	0.13%
Q83405	34	'factory'@en	0.13%
Q82117	34	'city gate'@en	0.13%
Q64995589	34	'country house hotel'@en	0.13%
Q1785071	34	'fort'@en	0.13%
Q747074	32	'commune of Italy'@en	0.12%
Q19860854	31	'destroyed building or structure'@en	0.12%
Q188913	31	'plantation'@en	0.12%
Q1549591	31	'big city'@en	0.12%
Q1400264	31	'artist collective'@en	0.12%
Q11166728	31	'TV tower'@en	0.12%
Q515	30	'city'@en	0.11%
Q22698	30	'park'@en	0.11%
Q210272	30	'cultural heritage'@en	0.11%
Q17431399	30	'national museum'@en	0.11%
Q2074737	29	'municipality of Spain'@en	0.11%
Q15727816	29	'painting series'@en	0.11%
Q618123	28	'geographical feature'@en	0.11%
Q123705	28	'neighborhood'@en	0.11%
Q9826	26	'high school'@en	0.1%
Q856663	26	'Bible story'@en	0.1%
Q5398426	26	'television series'@en	0.1%
Q5153359	26	'municipality of the Czech Republic'@en	0.1%
Q427287	26	'wat'@en	0.1%
Q918230	25	'Roman villa'@en	0.09%
Q18761864	25	'bank building'@en	0.09%
Q838948	24	'work of art'@en	0.09%
Q667276	24	'art exhibition'@en	0.09%
Q39715	24	'lighthouse'@en	0.09%
Q28564	24	'public library'@en	0.09%
Q13539802	24	'place with town rights and privileges'@en	0.09%
