domain	property	range	count
Q11303	P1004	external-id	1
Q133215	P1004	external-id	1
Q27686	P1004	external-id	1
Q8719053	P1004	external-id	1
Q11303	P10425	external-id	1
Q27686	P10425	external-id	1
Q11303	P10487	external-id	7
Q27686	P10487	external-id	7
Q18142	P10487	external-id	1
Q11303	P10532	external-id	7
Q27686	P10532	external-id	7
Q18142	P10532	external-id	1
Q11303	P10533	external-id	7
Q27686	P10533	external-id	7
Q18142	P10533	external-id	1
Q11303	P1101	quantity	488
Q18142	P1101	quantity	51
Q1021645	P1101	quantity	27
Q27686	P1101	quantity	12
Q811683	P1101	quantity	5
Q1570262	P1101	quantity	4
Q41176	P1101	quantity	4
Q11755880	P1101	quantity	2
Q2304397	P1101	quantity	2
Q543654	P1101	quantity	2
Q100705206	P1101	quantity	1
Q1129142	P1101	quantity	1
Q12518	P1101	quantity	1
Q12771350	P1101	quantity	1
Q1339195	P1101	quantity	1
Q13402009	P1101	quantity	1
Q1406988	P1101	quantity	1
Q1577547	P1101	quantity	1
Q19860854	P1101	quantity	1
Q242606	P1101	quantity	1
Q24354	P1101	quantity	1
Q2519340	P1101	quantity	1
Q25550691	P1101	quantity	1
Q2755753	P1101	quantity	1
Q47012103	P1101	quantity	1
Q6484056	P1101	quantity	1
Q655686	P1101	quantity	1
Q76321820	P1101	quantity	1
Q811430	P1101	quantity	1
Q811979	P1101	quantity	1
Q11303	P1139	quantity	36
Q1021645	P1139	quantity	4
Q18142	P1139	quantity	2
Q100705206	P1139	quantity	1
Q1339195	P1139	quantity	1
Q2519340	P1139	quantity	1
Q811430	P1139	quantity	1
Q811979	P1139	quantity	1
Q11303	P1216	external-id	4
Q1406988	P1216	external-id	1
Q18142	P1216	external-id	1
Q2755753	P1216	external-id	1
Q47012103	P1216	external-id	1
Q6484056	P1216	external-id	1
Q11303	P1301	quantity	125
Q1021645	P1301	quantity	14
Q18142	P1301	quantity	10
Q27686	P1301	quantity	5
Q655686	P1301	quantity	2
Q11755880	P1301	quantity	1
Q1577547	P1301	quantity	1
Q242606	P1301	quantity	1
Q24354	P1301	quantity	1
Q2519340	P1301	quantity	1
Q811683	P1301	quantity	1
Q811979	P1301	quantity	1
Q11303	P1305	external-id	424
Q18142	P1305	external-id	50
Q1021645	P1305	external-id	22
Q27686	P1305	external-id	10
Q1570262	P1305	external-id	3
Q811683	P1305	external-id	3
Q41176	P1305	external-id	2
Q543654	P1305	external-id	2
Q655686	P1305	external-id	2
Q100705206	P1305	external-id	1
Q11755880	P1305	external-id	1
Q12518	P1305	external-id	1
Q1339195	P1305	external-id	1
Q13402009	P1305	external-id	1
Q2304397	P1305	external-id	1
Q242606	P1305	external-id	1
Q24354	P1305	external-id	1
Q2519340	P1305	external-id	1
Q25550691	P1305	external-id	1
Q811430	P1305	external-id	1
Q811979	P1305	external-id	1
Q11303	P1329	string	3
Q1021645	P1329	string	1
Q27686	P1329	string	1
Q11303	P1417	external-id	11
Q1021645	P1417	external-id	2
Q11755880	P1417	external-id	1
Q133215	P1417	external-id	1
Q1406988	P1417	external-id	1
Q1497364	P1417	external-id	1
Q2755753	P1417	external-id	1
Q27686	P1417	external-id	1
Q47012103	P1417	external-id	1
Q6484056	P1417	external-id	1
Q8719053	P1417	external-id	1
Q11303	P154	commonsMedia	2
Q11303	P1566	external-id	35
Q18142	P1566	external-id	4
Q27686	P1566	external-id	4
Q1021645	P1566	external-id	3
Q11755880	P1566	external-id	1
Q1339195	P1566	external-id	1
Q1406988	P1566	external-id	1
Q1497364	P1566	external-id	1
Q2755753	P1566	external-id	1
Q47012103	P1566	external-id	1
Q543654	P1566	external-id	1
Q6484056	P1566	external-id	1
Q655686	P1566	external-id	1
Q11303	P1619	time	167
Q1021645	P1619	time	16
Q18142	P1619	time	13
Q27686	P1619	time	6
Q655686	P1619	time	2
Q1129142	P1619	time	1
Q11755880	P1619	time	1
Q133215	P1619	time	1
Q1406988	P1619	time	1
Q1577547	P1619	time	1
Q19860854	P1619	time	1
Q242606	P1619	time	1
Q2519340	P1619	time	1
Q2755753	P1619	time	1
Q41176	P1619	time	1
Q47012103	P1619	time	1
Q6484056	P1619	time	1
Q76321820	P1619	time	1
Q811430	P1619	time	1
Q8719053	P1619	time	1
Q11303	P1699	external-id	120
Q18142	P1699	external-id	13
Q1021645	P1699	external-id	12
Q11755880	P1699	external-id	2
Q100705206	P1699	external-id	1
Q1339195	P1699	external-id	1
Q13402009	P1699	external-id	1
Q16831714	P1699	external-id	1
Q24354	P1699	external-id	1
Q27686	P1699	external-id	1
Q41176	P1699	external-id	1
Q655686	P1699	external-id	1
Q811979	P1699	external-id	1
Q11303	P1705	monolingualtext	11
Q1021645	P1705	monolingualtext	2
Q1406988	P1705	monolingualtext	1
Q18142	P1705	monolingualtext	1
Q2755753	P1705	monolingualtext	1
Q27686	P1705	monolingualtext	1
Q47012103	P1705	monolingualtext	1
Q6484056	P1705	monolingualtext	1
Q655686	P1705	monolingualtext	1
Q11303	P18	commonsMedia	504
Q18142	P18	commonsMedia	51
Q1021645	P18	commonsMedia	28
