property	count	property;label	percentage
P17	596	'country'@en	100.0%
P7959	560	'historic county'@en	93.96%
P625	551	'coordinate location'@en	92.45%
P131	528	'located in the administrative territorial entity'@en	88.59%
P646	506	'Freebase ID'@en	84.9%
P1435	470	'heritage designation'@en	78.86%
P1216	468	'National Heritage List for England number'@en	78.52%
P613	461	'OS grid reference'@en	77.35%
P18	451	'image'@en	75.67%
P373	293	'Commons category'@en	49.16%
P3481	110	'Parks & Gardens UK record ID'@en	18.46%
P856	76	'official website'@en	12.75%
P571	73	'inception'@en	12.25%
P276	66	'location'@en	11.07%
P9042	60	'DiCamillo Database Country House ID'@en	10.07%
P1566	58	'GeoNames ID'@en	9.73%
P127	57	'owned by'@en	9.56%
P149	55	'architectural style'@en	9.23%
P84	53	'architect'@en	8.89%
P5008	36	'on focus list of Wikimedia project'@en	6.04%
P88	32	'commissioned by'@en	5.37%
P1602	29	'Art UK venue ID'@en	4.87%
P214	28	'VIAF ID'@en	4.7%
P186	25	'made from material'@en	4.19%
P2581	22	'BabelNet ID'@en	3.69%
P7859	21	'WorldCat Identities ID'@en	3.52%
P9284	19	'GB1900 ID'@en	3.19%
P126	19	'maintained by'@en	3.19%
P973	18	'described at URL'@en	3.02%
P3642	18	'ARCHON code'@en	3.02%
P8587	17	'Legacies of British Slave-ownership place ID'@en	2.85%
P7561	17	'category for the interior of the item'@en	2.85%
P466	17	'occupant'@en	2.85%
P361	17	'part of'@en	2.85%
P4672	15	'EMLO location ID'@en	2.52%
P4146	13	'Athenaeum museum ID'@en	2.18%
P244	13	'Library of Congress authority ID'@en	2.18%
P4141	12	'Gatehouse Gazetteer place ID'@en	2.01%
P3616	12	'Vision of Britain place ID'@en	2.01%
P793	11	'significant event'@en	1.85%
P5816	11	'state of conservation'@en	1.85%
P527	11	'has part or parts'@en	1.85%
P3032	10	'adjacent building'@en	1.68%
P3417	8	'Quora topic ID'@en	1.34%
P1004	8	'MusicBrainz place ID'@en	1.34%
P1889	7	'different from'@en	1.17%
P1667	7	'Getty Thesaurus of Geographic Names ID'@en	1.17%
P1612	7	'Commons Institution page'@en	1.17%
P1705	6	'native label'@en	1.01%
P1101	6	'floors above ground'@en	1.01%
P4839	5	'Wolfram Language entity code'@en	0.84%
P1417	5	'Encyclopædia Britannica Online ID'@en	0.84%
P576	4	'dissolved, abolished or demolished date'@en	0.67%
