domain	property	range	count
Q207694	P101	Q11862829	7
Q207694	P101	Q1792379	6
Q207694	P101	Q64222339	6
Q207694	P101	Q968159	4
Q16020664	P101	Q11862829	1
Q16020664	P101	Q1792379	1
Q16020664	P101	Q64222339	1
Q207694	P101	Q1620908	1
Q207694	P101	Q3326867	1
Q207694	P101	Q483394	1
Q207694	P101	Q56055944	1
Q33506	P101	Q11862829	1
Q33506	P101	Q1792379	1
Q33506	P101	Q64222339	1
Q33506	P101	Q968159	1
Q207694	P1037	Q5	23
Q207694	P1037	Q1062083	2
Q1007870	P1037	Q1062083	1
Q1007870	P1037	Q5	1
Q10624527	P1037	Q5	1
Q108860593	P1037	Q5	1
Q1497649	P1037	Q5	1
Q163740	P1037	Q5	1
Q1759852	P1037	Q5	1
Q2085381	P1037	Q5	1
Q24699794	P1037	Q5	1
Q26944969	P1037	Q5	1
Q207694	P112	Q5	18
Q10624527	P112	Q5	1
Q108860593	P112	Q5	1
Q11341528	P112	Q5	1
Q1202402	P112	Q5	1
Q1343246	P112	Q5	1
Q17431399	P112	Q20076236	1
Q17431399	P112	Q43229	1
Q1802963	P112	Q5	1
Q207694	P112	Q177626	1
Q207694	P112	Q20076236	1
Q207694	P112	Q41710	1
Q207694	P112	Q43229	1
Q207694	P112	Q4830453	1
Q2087181	P112	Q5	1
Q33506	P112	Q5	1
Q570116	P112	Q5	1
Q61781831	P112	Q5	1
Q108860593	P1268	Q5	1
Q207694	P1268	Q5	1
Q207694	P1269	Q5	1
Q207694	P127	Q207694	2
Q1343246	P127	Q207694	1
Q17431399	P127	Q19973770	1
Q207694	P127	Q1006283	1
Q207694	P127	Q163740	1
Q207694	P127	Q1802419	1
Q207694	P127	Q192299	1
Q207694	P127	Q19973770	1
Q207694	P127	Q219577	1
Q207694	P127	Q2668072	1
Q207694	P127	Q270791	1
Q207694	P127	Q45242174	1
Q207694	P127	Q515	1
Q207694	P127	Q755707	1
Q2190251	P127	Q45242174	1
Q2190251	P127	Q515	1
Q24354	P127	Q45242174	1
Q24354	P127	Q515	1
Q570116	P127	Q192299	1
Q570116	P127	Q755707	1
Q811979	P127	Q192299	1
Q811979	P127	Q755707	1
Q207694	P1299	Q5707594	2
Q108860593	P1299	Q5707594	1
Q207694	P1299	Q1391420	1
Q207694	P1299	Q2352616	1
Q207694	P1299	Q3331189	1
Q207694	P1299	Q386724	1
Q207694	P131	Q1549591	98
Q207694	P131	Q35657	86
Q207694	P131	Q515	60
Q207694	P131	Q1093829	40
Q207694	P131	Q5119	30
Q207694	P131	Q62049	28
Q207694	P131	Q1637706	27
Q207694	P131	Q7897276	13
Q207694	P131	Q408804	9
Q207694	P131	Q42744322	9
Q207694	P131	Q5327369	9
Q207694	P131	Q56061	9
Q1007870	P131	Q35657	8
Q207694	P131	Q11828004	8
Q207694	P131	Q50330360	8
Q207694	P131	Q5852411	8
Q33506	P131	Q515	8
Q207694	P131	Q10864048	7
Q207694	P131	Q1115575	7
Q207694	P131	Q13218391	7
Q207694	P131	Q137773	7
Q207694	P131	Q475050	7
Q207694	P131	Q667509	7
Q207694	P131	Q1187811	6
Q207694	P131	Q21503295	6
Q207694	P131	Q3957	6
Q207694	P131	Q494721	6
Q207694	P131	Q747074	6
Q207694	P131	Q76514543	6
Q33506	P131	Q1549591	6
Q1497649	P131	Q23058	5
Q1497649	P131	Q54935504	5
Q1497649	P131	Q70208	5
Q1759852	P131	Q35657	5
Q207694	P131	Q200250	5
Q207694	P131	Q211690	5
Q207694	P131	Q2177636	5
Q207694	P131	Q23058	5
Q207694	P131	Q261023	5
Q207694	P131	Q3301053	5
Q207694	P131	Q484170	5
Q207694	P131	Q54935504	5
Q207694	P131	Q65589340	5
Q207694	P131	Q70208	5
Q207694	P131	Q755707	5
Q33506	P131	Q1637706	5
Q207694	P131	Q1137833	4
Q207694	P131	Q1349648	4
Q207694	P131	Q171441	4
Q207694	P131	Q192299	4
Q207694	P131	Q253030	4
Q207694	P131	Q262882	4
Q207694	P131	Q486972	4
Q207694	P131	Q493522	4
Q207694	P131	Q532	4
Q33506	P131	Q5119	4
Q17431399	P131	Q1549591	3
Q17431399	P131	Q5119	3
Q207694	P131	Q1094397	3
Q207694	P131	Q1180262	3
Q207694	P131	Q133442	3
Q207694	P131	Q1422929	3
Q207694	P131	Q15060255	3
Q207694	P131	Q15127012	3
Q207694	P131	Q15273785	3
Q207694	P131	Q15284	3
Q207694	P131	Q192611	3
Q207694	P131	Q2039348	3
Q207694	P131	Q21010817	3
Q207694	P131	Q21507383	3
Q207694	P131	Q21518270	3
Q207694	P131	Q257391	3
Q207694	P131	Q261543	3
Q207694	P131	Q2740635	3
Q207694	P131	Q3505887	3
Q207694	P131	Q5888666	3
Q207694	P131	Q707813	3
Q207694	P131	Q7930989	3
Q207694	P131	Q821435	3
Q207694	P131	Q85635630	3
Q24699794	P131	Q1549591	3
Q1007870	P131	Q1093829	2
Q1007870	P131	Q1549591	2
Q1007870	P131	Q1637706	2
Q1007870	P131	Q408804	2
Q1007870	P131	Q62049	2
Q10624527	P131	Q137773	2
Q1497649	P131	Q14770218	2
Q1497649	P131	Q1549591	2
Q163740	P131	Q1093829	2
Q163740	P131	Q35657	2
Q17431399	P131	Q515	2
Q207694	P131	Q1002812	2
Q207694	P131	Q1059478	2
Q207694	P131	Q1066538	2
Q207694	P131	Q1066984	2
Q207694	P131	Q109329953	2
Q207694	P131	Q1208802	2
Q207694	P131	Q123705	2
Q207694	P131	Q127448	2
Q207694	P131	Q13212489	2
Q207694	P131	Q133156	2
Q207694	P131	Q13455645	2
Q207694	P131	Q134626	2
Q207694	P131	Q14770218	2
Q207694	P131	Q149621	2
Q207694	P131	Q15127838	2
Q207694	P131	Q1802801	2
Q207694	P131	Q192287	2
Q207694	P131	Q19833031	2
Q207694	P131	Q20528428	2
Q207694	P131	Q21457810	2
Q207694	P131	Q2264924	2
Q207694	P131	Q278976	2
Q207694	P131	Q3184121	2
Q207694	P131	Q33146843	2
Q207694	P131	Q3559093	2
Q207694	P131	Q3700011	2
Q207694	P131	Q424857	2
Q207694	P131	Q490329	2
Q207694	P131	Q5084	2
Q207694	P131	Q5123999	2
Q207694	P131	Q5124673	2
Q207694	P131	Q51929311	2
Q207694	P131	Q581830	2
Q207694	P131	Q676050	2
Q207694	P131	Q702492	2
Q207694	P131	Q705296	2
Q207694	P131	Q79323854	2
Q207694	P131	Q856076	2
Q207694	P131	Q85631896	2
Q207694	P131	Q902814	2
Q24699794	P131	Q1093829	2
Q33506	P131	Q10864048	2
Q33506	P131	Q1094397	2
Q33506	P131	Q1422929	2
Q33506	P131	Q15060255	2
Q33506	P131	Q15284	2
Q33506	P131	Q192611	2
Q33506	P131	Q19833031	2
Q33506	P131	Q3184121	2
Q33506	P131	Q475050	2
Q33506	P131	Q56061	2
Q33506	P131	Q856076	2
Q4989906	P131	Q33146843	2
Q1007870	P131	Q1059478	1
Q1007870	P131	Q1615742	1
Q1007870	P131	Q1749269	1
Q1007870	P131	Q179872	1
Q1007870	P131	Q20528428	1
Q1007870	P131	Q23058	1
Q1007870	P131	Q261023	1
Q1007870	P131	Q2734310	1
Q1007870	P131	Q3032119	1
Q1007870	P131	Q486972	1
Q1007870	P131	Q5119	1
Q1007870	P131	Q515	1
Q1007870	P131	Q54935504	1
Q1007870	P131	Q5852411	1
Q1007870	P131	Q65589340	1
Q1007870	P131	Q662914	1
Q1007870	P131	Q70208	1
Q1007870	P131	Q76514543	1
Q1043939	P131	Q1093829	1
Q1043939	P131	Q35657	1
Q1043939	P131	Q62049	1
Q10624527	P131	Q494721	1
Q10624527	P131	Q5327369	1
Q108325	P131	Q1093829	1
Q108325	P131	Q1549591	1
Q108325	P131	Q1637706	1
Q108325	P131	Q62049	1
Q108860593	P131	Q408804	1
Q10942443	P131	Q211690	1
Q10942443	P131	Q21503295	1
Q10942443	P131	Q515	1
Q10942443	P131	Q7897276	1
Q11341528	P131	Q5327369	1
Q1179791	P131	Q104880945	1
Q1179791	P131	Q14192199	1
Q1179791	P131	Q14192234	1
Q1179791	P131	Q171441	1
Q1202402	P131	Q211690	1
Q1202402	P131	Q21503295	1
Q1202402	P131	Q515	1
Q1202402	P131	Q7897276	1
Q1329623	P131	Q261023	1
Q1329623	P131	Q278976	1
Q1343246	P131	Q1115575	1
Q1343246	P131	Q532	1
Q1497375	P131	Q278976	1
Q1497649	P131	Q1187811	1
Q1497649	P131	Q3032119	1
Q1497649	P131	Q50330360	1
Q1497649	P131	Q56061	1
Q1497649	P131	Q64340309	1
Q1497649	P131	Q662914	1
Q1541532	P131	Q821435	1
Q1595639	P131	Q1002812	1
Q1595639	P131	Q3957	1
Q16020664	P131	Q14762300	1
Q16020664	P131	Q1549591	1
Q16020664	P131	Q21507383	1
Q16020664	P131	Q515	1
Q160742	P131	Q1802801	1
Q160742	P131	Q261023	1
Q160742	P131	Q484170	1
Q160742	P131	Q581830	1
Q160742	P131	Q667509	1
Q162875	P131	Q35657	1
Q163740	P131	Q1549591	1
Q163740	P131	Q21518270	1
Q163740	P131	Q2177636	1
Q163740	P131	Q3301053	1
Q163740	P131	Q98449544	1
Q16735822	P131	Q1093829	1
Q16735822	P131	Q13212489	1
Q16735822	P131	Q13218391	1
Q16735822	P131	Q1549591	1
Q16735822	P131	Q1637706	1
Q16735822	P131	Q21010817	1
Q16735822	P131	Q5888666	1
Q16735822	P131	Q62049	1
Q16970	P131	Q261023	1
Q16970	P131	Q581830	1
Q17431399	P131	Q10864048	1
Q17431399	P131	Q1094397	1
Q17431399	P131	Q1147395	1
Q17431399	P131	Q1422929	1
Q17431399	P131	Q1637706	1
Q17431399	P131	Q192611	1
Q17431399	P131	Q2039348	1
Q17431399	P131	Q3957	1
Q17431399	P131	Q475050	1
Q17431399	P131	Q48336	1
Q17431399	P131	Q56061	1
Q1759852	P131	Q1093829	1
Q1759852	P131	Q11828004	1
Q1759852	P131	Q1549591	1
Q1759852	P131	Q42744322	1
Q1759852	P131	Q85635630	1
Q1759852	P131	Q98449544	1
Q1797122	P131	Q1066984	1
Q1797122	P131	Q1180262	1
Q1797122	P131	Q1187811	1
Q1797122	P131	Q123705	1
Q1797122	P131	Q134626	1
Q1797122	P131	Q1549591	1
Q1797122	P131	Q1637706	1
Q1797122	P131	Q200250	1
Q1797122	P131	Q253019	1
Q1797122	P131	Q42744322	1
Q1797122	P131	Q515	1
Q1797122	P131	Q85631896	1
Q1802963	P131	Q15060255	1
Q1802963	P131	Q211690	1
Q1802963	P131	Q21503295	1
Q1802963	P131	Q5124673	1
Q1802963	P131	Q515	1
Q1802963	P131	Q7897276	1
Q18325436	P131	Q15127012	1
Q1865249	P131	Q13455645	1
Q1865249	P131	Q1549591	1
Q1865249	P131	Q5119	1
Q2065736	P131	Q1549591	1
Q2065736	P131	Q262882	1
Q2065736	P131	Q667509	1
Q207694	P131	Q1006876	1
Q207694	P131	Q102104752	1
Q207694	P131	Q104841013	1
Q207694	P131	Q104880945	1
Q207694	P131	Q1048835	1
Q207694	P131	Q1054813	1
Q207694	P131	Q1062710	1
Q207694	P131	Q1136601	1
Q207694	P131	Q1138494	1
Q207694	P131	Q11394721	1
Q207694	P131	Q1145012	1
Q207694	P131	Q1147395	1
Q207694	P131	Q1229454	1
Q207694	P131	Q1266029	1
Q207694	P131	Q1266818	1
Q207694	P131	Q12813115	1
Q207694	P131	Q1306755	1
Q207694	P131	Q13217644	1
Q207694	P131	Q13220204	1
Q207694	P131	Q13410428	1
Q207694	P131	Q1343246	1
Q207694	P131	Q1351282	1
Q207694	P131	Q1352230	1
Q207694	P131	Q13539802	1
Q207694	P131	Q1357964	1
Q207694	P131	Q14192199	1
Q207694	P131	Q14192234	1
Q207694	P131	Q14762300	1
Q207694	P131	Q14784328	1
Q207694	P131	Q148837	1
Q207694	P131	Q15105893	1
Q207694	P131	Q15303838	1
Q207694	P131	Q15344922	1
Q207694	P131	Q1547289	1
Q207694	P131	Q15647906	1
Q207694	P131	Q15661340	1
Q207694	P131	Q15936437	1
Q207694	P131	Q1615742	1
Q207694	P131	Q163301	1
