domain	property	range	count	domain;label	property;label	range;label
Q27686	P856	url	137.0	'hotel'@en	'official website'@en	
Q11303	P856	url	10.0	'skyscraper'@en	'official website'@en	
Q133215	P856	url	4.0	'casino'@en	'official website'@en	
Q41176	P856	url	4.0	'building'@en	'official website'@en	
Q18142	P856	url	2.0	'high-rise building'@en	'official website'@en	
Q23413	P856	url	2.0	'castle'@en	'official website'@en	
Q3947	P856	url	2.0	'house'@en	'official website'@en	
Q63099748	P856	url	2.0	'hotel building'@en	'official website'@en	
Q811979	P856	url	2.0	'architectural structure'@en	'official website'@en	
Q11298947	P856	url	1.0	'classic hotel'@en	'official website'@en	
Q1341387	P856	url	1.0	'spa'@en	'official website'@en	
Q15243209	P856	url	1.0	'historic district'@en	'official website'@en	
Q16560	P856	url	1.0	'palace'@en	'official website'@en	
Q2065736	P856	url	1.0	'cultural property'@en	'official website'@en	
Q4830453	P856	url	1.0	'business'@en	'official website'@en	
Q618123	P856	url	1.0	'geographical feature'@en	'official website'@en	
Q8719053	P856	url	1.0	'music venue'@en	'official website'@en	
Q879050	P856	url	1.0	'manor house'@en	'official website'@en	
Q27686	P649	external-id	151.0	'hotel'@en	'NRHP reference number'@en	
Q63099748	P649	external-id	2.0	'hotel building'@en	'NRHP reference number'@en	
Q11303	P649	external-id	1.0	'skyscraper'@en	'NRHP reference number'@en	
Q1498804	P649	external-id	1.0	'multiple dwellings'@en	'NRHP reference number'@en	
Q15243209	P649	external-id	1.0	'historic district'@en	'NRHP reference number'@en	
Q18142	P649	external-id	1.0	'high-rise building'@en	'NRHP reference number'@en	
Q256020	P649	external-id	1.0	'inn'@en	'NRHP reference number'@en	
Q5003624	P649	external-id	1.0	'memorial'@en	'NRHP reference number'@en	
Q54934129	P649	external-id	1.0	'African-American museum'@en	'NRHP reference number'@en	
Q27686	P646	external-id	178.0	'hotel'@en	'Freebase ID'@en	
Q11303	P646	external-id	4.0	'skyscraper'@en	'Freebase ID'@en	
Q133215	P646	external-id	3.0	'casino'@en	'Freebase ID'@en	
Q1570262	P646	external-id	2.0	'unfinished building'@en	'Freebase ID'@en	
Q23413	P646	external-id	2.0	'castle'@en	'Freebase ID'@en	
Q811979	P646	external-id	2.0	'architectural structure'@en	'Freebase ID'@en	
Q1244442	P646	external-id	1.0	'school building'@en	'Freebase ID'@en	
Q13402009	P646	external-id	1.0	'apartment building'@en	'Freebase ID'@en	
Q1341387	P646	external-id	1.0	'spa'@en	'Freebase ID'@en	
Q1343246	P646	external-id	1.0	'English country house'@en	'Freebase ID'@en	
Q1378975	P646	external-id	1.0	'convention center'@en	'Freebase ID'@en	
Q1498804	P646	external-id	1.0	'multiple dwellings'@en	'Freebase ID'@en	
Q16560	P646	external-id	1.0	'palace'@en	'Freebase ID'@en	
Q18142	P646	external-id	1.0	'high-rise building'@en	'Freebase ID'@en	
Q256020	P646	external-id	1.0	'inn'@en	'Freebase ID'@en	
Q3947	P646	external-id	1.0	'house'@en	'Freebase ID'@en	
Q41176	P646	external-id	1.0	'building'@en	'Freebase ID'@en	
Q4830453	P646	external-id	1.0	'business'@en	'Freebase ID'@en	
Q5003624	P646	external-id	1.0	'memorial'@en	'Freebase ID'@en	
Q54934129	P646	external-id	1.0	'African-American museum'@en	'Freebase ID'@en	
Q63099748	P646	external-id	1.0	'hotel building'@en	'Freebase ID'@en	
Q8719053	P646	external-id	1.0	'music venue'@en	'Freebase ID'@en	
Q27686	P625	globe-coordinate	402.0	'hotel'@en	'coordinate location'@en	
Q11303	P625	globe-coordinate	16.0	'skyscraper'@en	'coordinate location'@en	
Q133215	P625	globe-coordinate	4.0	'casino'@en	'coordinate location'@en	
Q1343246	P625	globe-coordinate	4.0	'English country house'@en	'coordinate location'@en	
Q23413	P625	globe-coordinate	4.0	'castle'@en	'coordinate location'@en	
Q41176	P625	globe-coordinate	4.0	'building'@en	'coordinate location'@en	
Q811979	P625	globe-coordinate	4.0	'architectural structure'@en	'coordinate location'@en	
Q3947	P625	globe-coordinate	3.0	'house'@en	'coordinate location'@en	
Q63099748	P625	globe-coordinate	3.0	'hotel building'@en	'coordinate location'@en	
Q18142	P625	globe-coordinate	2.0	'high-rise building'@en	'coordinate location'@en	
Q1021645	P625	globe-coordinate	1.0	'office building'@en	'coordinate location'@en	
Q11298947	P625	globe-coordinate	1.0	'classic hotel'@en	'coordinate location'@en	
Q1244442	P625	globe-coordinate	1.0	'school building'@en	'coordinate location'@en	
Q13402009	P625	globe-coordinate	1.0	'apartment building'@en	'coordinate location'@en	
Q1341387	P625	globe-coordinate	1.0	'spa'@en	'coordinate location'@en	
Q1378975	P625	globe-coordinate	1.0	'convention center'@en	'coordinate location'@en	
Q1498804	P625	globe-coordinate	1.0	'multiple dwellings'@en	'coordinate location'@en	
Q15243209	P625	globe-coordinate	1.0	'historic district'@en	'coordinate location'@en	
Q2065736	P625	globe-coordinate	1.0	'cultural property'@en	'coordinate location'@en	
Q256020	P625	globe-coordinate	1.0	'inn'@en	'coordinate location'@en	
Q2880255	P625	globe-coordinate	1.0	'resort hotel'@en	'coordinate location'@en	
Q4830453	P625	globe-coordinate	1.0	'business'@en	'coordinate location'@en	
Q5003624	P625	globe-coordinate	1.0	'memorial'@en	'coordinate location'@en	
Q54934129	P625	globe-coordinate	1.0	'African-American museum'@en	'coordinate location'@en	
Q618123	P625	globe-coordinate	1.0	'geographical feature'@en	'coordinate location'@en	
