domain	property	range	count	domain;label	property;label	range;label
Q105543609	P1001	Q17152708	1	'musical work/composition'@en	'applies to jurisdiction'@en	'republican regime in France'@en
Q105543609	P1001	Q3024240	1	'musical work/composition'@en	'applies to jurisdiction'@en	'historical country'@en
Q105543609	P1001	Q501094	1	'musical work/composition'@en	'applies to jurisdiction'@en	'state of Venezuela'@en
Q105543609	P1001	Q57053	1	'musical work/composition'@en	'applies to jurisdiction'@en	'county of Croatia'@en
Q23691	P1001	Q17152708	1	'national anthem'@en	'applies to jurisdiction'@en	'republican regime in France'@en
Q23691	P1001	Q3024240	1	'national anthem'@en	'applies to jurisdiction'@en	'historical country'@en
Q23691	P1001	Q57053	1	'national anthem'@en	'applies to jurisdiction'@en	'county of Croatia'@en
Q105543609	P106	Q12737077	2	'musical work/composition'@en	'occupation'@en	'occupation'@en
Q105543609	P106	Q66715801	1	'musical work/composition'@en	'occupation'@en	'musical profession'@en
Q182659	P106	Q12737077	1	'ballad'@en	'occupation'@en	'occupation'@en
Q5	P106	Q12737077	1	'human'@en	'occupation'@en	'occupation'@en
Q105543609	P1071	Q262882	3	'musical work/composition'@en	'location of creation'@en	'statutory city of Austria'@en
Q105543609	P1071	Q667509	3	'musical work/composition'@en	'location of creation'@en	'municipality of Austria'@en
Q105543609	P1071	Q133442	2	'musical work/composition'@en	'location of creation'@en	'city-state'@en
Q105543609	P1071	Q1637706	2	'musical work/composition'@en	'location of creation'@en	'million city'@en
Q105543609	P1071	Q171441	2	'musical work/composition'@en	'location of creation'@en	'enclave'@en
Q105543609	P1071	Q200250	2	'musical work/composition'@en	'location of creation'@en	'metropolis'@en
Q105543609	P1071	Q257391	2	'musical work/composition'@en	'location of creation'@en	'federal capital'@en
Q105543609	P1071	Q261543	2	'musical work/composition'@en	'location of creation'@en	'state of Austria'@en
Q105543609	P1071	Q13539802	1	'musical work/composition'@en	'location of creation'@en	'place with town rights and privileges'@en
Q105543609	P1071	Q1549591	1	'musical work/composition'@en	'location of creation'@en	'big city'@en
Q105543609	P1071	Q3957	1	'musical work/composition'@en	'location of creation'@en	'town'@en
Q105543609	P110	Q5	2	'musical work/composition'@en	'illustrator'@en	'human'@en
Q1123037	P110	Q5	2	'nursery rhyme'@en	'illustrator'@en	'human'@en
Q193605	P110	Q5	1	'lullaby'@en	'illustrator'@en	'human'@en
Q788460	P110	Q5	1	'Bagatelle'@en	'illustrator'@en	'human'@en
Q105543609	P1142	Q2738074	2	'musical work/composition'@en	'political ideology'@en	'political movement'@en
Q1672918	P1142	Q2738074	1	'Irish rebel song'@en	'political ideology'@en	'political movement'@en
Q105543609	P123	Q1917775	40	'musical work/composition'@en	'publisher'@en	'music publishing company'@en
Q105543609	P123	Q3719391	27	'musical work/composition'@en	'publisher'@en	'sheet music publisher'@en
Q105543609	P123	Q4830453	16	'musical work/composition'@en	'publisher'@en	'business'@en
Q105543609	P123	Q885122	15	'musical work/composition'@en	'publisher'@en	'piano maker'@en
Q105543609	P123	Q5	8	'musical work/composition'@en	'publisher'@en	'human'@en
Q105543609	P123	Q2085381	7	'musical work/composition'@en	'publisher'@en	'publisher'@en
Q105543609	P123	Q6881511	3	'musical work/composition'@en	'publisher'@en	'enterprise'@en
Q105543609	P123	Q1320047	2	'musical work/composition'@en	'publisher'@en	'book publisher'@en
Q105543609	P123	Q18127	2	'musical work/composition'@en	'publisher'@en	'record label'@en
Q7725310	P123	Q5	2	'series of creative works'@en	'publisher'@en	'human'@en
Q105543609	P123	Q658255	1	'musical work/composition'@en	'publisher'@en	'subsidiary'@en
Q47461344	P123	Q5	1	'written work'@en	'publisher'@en	'human'@en
Q836950	P123	Q1917775	1	'derivative work'@en	'publisher'@en	'music publishing company'@en
Q836950	P123	Q3719391	1	'derivative work'@en	'publisher'@en	'sheet music publisher'@en
Q105543609	P1269	Q105543609	1	'musical work/composition'@en	'facet of'@en	'musical work/composition'@en
Q105543609	P1303	Q1372823	1	'musical work/composition'@en	'instrument'@en	'electromechanical instruments'@en
Q105543609	P1303	Q29982117	1	'musical work/composition'@en	'instrument'@en	'musical instrument model'@en
Q105543609	P131	Q1549591	1	'musical work/composition'@en	'located in the administrative territorial entity'@en	'big city'@en
Q105543609	P131	Q2039348	1	'musical work/composition'@en	'located in the administrative territorial entity'@en	'municipality of the Netherlands'@en
Q105543609	P131	Q22923920	1	'musical work/composition'@en	'located in the administrative territorial entity'@en	'territorial collectivity of France with special status'@en
Q105543609	P131	Q3502482	1	'musical work/composition'@en	'located in the administrative territorial entity'@en	'cultural region'@en
Q105543609	P131	Q36784	1	'musical work/composition'@en	'located in the administrative territorial entity'@en	'region of France'@en
Q23691	P131	Q22923920	1	'national anthem'@en	'located in the administrative territorial entity'@en	'territorial collectivity of France with special status'@en
Q23691	P131	Q3502482	1	'national anthem'@en	'located in the administrative territorial entity'@en	'cultural region'@en
Q23691	P131	Q36784	1	'national anthem'@en	'located in the administrative territorial entity'@en	'region of France'@en
Q811979	P131	Q1549591	1	'architectural structure'@en	'located in the administrative territorial entity'@en	'big city'@en
Q811979	P131	Q2039348	1	'architectural structure'@en	'located in the administrative territorial entity'@en	'municipality of the Netherlands'@en
Q105543609	P1343	Q35127	53	'musical work/composition'@en	'described by source'@en	'website'@en
Q105543609	P1343	Q59825643	50	'musical work/composition'@en	'described by source'@en	'online music database'@en
Q105543609	P1343	Q7725634	14	'musical work/composition'@en	'described by source'@en	'literary work'@en
Q105543609	P1343	Q5292	8	'musical work/composition'@en	'described by source'@en	'encyclopedia'@en
Q1123037	P1343	Q5292	7	'nursery rhyme'@en	'described by source'@en	'encyclopedia'@en
Q1123037	P1343	Q7725634	7	'nursery rhyme'@en	'described by source'@en	'literary work'@en
Q105543609	P1343	Q3331189	5	'musical work/composition'@en	'described by source'@en	'version, edition, or translation'@en
Q105543609	P1343	Q15633582	4	'musical work/composition'@en	'described by source'@en	'MediaWiki website'@en
Q105543609	P1343	Q4830453	4	'musical work/composition'@en	'described by source'@en	'business'@en
Q105543609	P1343	Q571	4	'musical work/composition'@en	'described by source'@en	'book'@en
Q105543609	P1343	Q615699	4	'musical work/composition'@en	'described by source'@en	'Internet encyclopedia'@en
Q105543609	P1343	Q975413	4	'musical work/composition'@en	'described by source'@en	'encyclopedic dictionary'@en
Q1123037	P1343	Q571	3	'nursery rhyme'@en	'described by source'@en	'book'@en
Q105543609	P1343	Q217117	2	'musical work/composition'@en	'described by source'@en	'burlesque'@en
Q105543609	P1343	Q35760	2	'musical work/composition'@en	'described by source'@en	'essay'@en
Q105543609	P1343	Q7094076	2	'musical work/composition'@en	'described by source'@en	'online database'@en
Q105543609	P1343	Q847959	2	'musical work/composition'@en	'described by source'@en	'social cataloging application'@en
Q107357104	P1343	Q975413	2	'type of dance'@en	'described by source'@en	'encyclopedic dictionary'@en
Q1123037	P1343	Q217117	2	'nursery rhyme'@en	'described by source'@en	'burlesque'@en
Q1123037	P1343	Q35760	2	'nursery rhyme'@en	'described by source'@en	'essay'@en
Q182659	P1343	Q7725634	2	'ballad'@en	'described by source'@en	'literary work'@en
Q788460	P1343	Q5292	2	'Bagatelle'@en	'described by source'@en	'encyclopedia'@en
Q788460	P1343	Q7725634	2	'Bagatelle'@en	'described by source'@en	'literary work'@en
Q836950	P1343	Q35127	2	'derivative work'@en	'described by source'@en	'website'@en
Q105543609	P1343	Q11032	1	'musical work/composition'@en	'described by source'@en	'newspaper'@en
Q105543609	P1343	Q1110794	1	'musical work/composition'@en	'described by source'@en	'daily newspaper'@en
Q105543609	P1343	Q1239328	1	'musical work/composition'@en	'described by source'@en	'national encyclopedia'@en
Q105543609	P1343	Q1525071	1	'musical work/composition'@en	'described by source'@en	'universal encyclopedia'@en
Q105543609	P1343	Q1789476	1	'musical work/composition'@en	'described by source'@en	'bibliographic database'@en
Q105543609	P1343	Q191067	1	'musical work/composition'@en	'described by source'@en	'article'@en
Q105543609	P1343	Q1955205	1	'musical work/composition'@en	'described by source'@en	'music encyclopedia'@en
Q105543609	P1343	Q28146196	1	'musical work/composition'@en	'described by source'@en	'music database'@en
Q105543609	P1343	Q327333	1	'musical work/composition'@en	'described by source'@en	'government agency'@en
Q105543609	P1343	Q41298	1	'musical work/composition'@en	'described by source'@en	'magazine'@en
Q105543609	P1343	Q43060	1	'musical work/composition'@en	'described by source'@en	'online music store'@en
Q105543609	P1343	Q47461344	1	'musical work/composition'@en	'described by source'@en	'written work'@en
Q105543609	P1343	Q56165908	1	'musical work/composition'@en	'described by source'@en	'Jewish encyclopedia'@en
Q105543609	P1343	Q732577	1	'musical work/composition'@en	'described by source'@en	'publication'@en
Q1123037	P1343	Q15633582	1	'nursery rhyme'@en	'described by source'@en	'MediaWiki website'@en
Q1123037	P1343	Q4830453	1	'nursery rhyme'@en	'described by source'@en	'business'@en
Q1123037	P1343	Q615699	1	'nursery rhyme'@en	'described by source'@en	'Internet encyclopedia'@en
Q15079132	P1343	Q975413	1	'Christian prayer'@en	'described by source'@en	'encyclopedic dictionary'@en
Q182659	P1343	Q3331189	1	'ballad'@en	'described by source'@en	'version, edition, or translation'@en
Q182659	P1343	Q732577	1	'ballad'@en	'described by source'@en	'publication'@en
Q18460285	P1343	Q15633582	1	'musical setting'@en	'described by source'@en	'MediaWiki website'@en
Q18460285	P1343	Q35127	1	'musical setting'@en	'described by source'@en	'website'@en
Q18460285	P1343	Q4830453	1	'musical setting'@en	'described by source'@en	'business'@en
Q18460285	P1343	Q615699	1	'musical setting'@en	'described by source'@en	'Internet encyclopedia'@en
Q20202269	P1343	Q35127	1	'musical term'@en	'described by source'@en	'website'@en
Q20202269	P1343	Q43060	1	'musical term'@en	'described by source'@en	'online music store'@en
Q230052	P1343	Q5292	1	'tongue-twister'@en	'described by source'@en	'encyclopedia'@en
Q230052	P1343	Q7725634	1	'tongue-twister'@en	'described by source'@en	'literary work'@en
Q23691	P1343	Q7725634	1	'national anthem'@en	'described by source'@en	'literary work'@en
Q23691	P1343	Q975413	1	'national anthem'@en	'described by source'@en	'encyclopedic dictionary'@en
Q27713372	P1343	Q5292	1	'fictional goat'@en	'described by source'@en	'encyclopedia'@en
Q27713372	P1343	Q56165908	1	'fictional goat'@en	'described by source'@en	'Jewish encyclopedia'@en
Q27713372	P1343	Q571	1	'fictional goat'@en	'described by source'@en	'book'@en
Q47461344	P1343	Q3331189	1	'written work'@en	'described by source'@en	'version, edition, or translation'@en
Q484692	P1343	Q7725634	1	'hymn'@en	'described by source'@en	'literary work'@en
Q5	P1343	Q3331189	1	'human'@en	'described by source'@en	'version, edition, or translation'@en
Q5	P1343	Q732577	1	'human'@en	'described by source'@en	'publication'@en
Q5185279	P1343	Q15633582	1	'poem'@en	'described by source'@en	'MediaWiki website'@en
Q5185279	P1343	Q35127	1	'poem'@en	'described by source'@en	'website'@en
Q5185279	P1343	Q4830453	1	'poem'@en	'described by source'@en	'business'@en
Q5185279	P1343	Q615699	1	'poem'@en	'described by source'@en	'Internet encyclopedia'@en
Q541947	P1343	Q15633582	1	'anthem'@en	'described by source'@en	'MediaWiki website'@en
Q541947	P1343	Q35127	1	'anthem'@en	'described by source'@en	'website'@en
Q541947	P1343	Q4830453	1	'anthem'@en	'described by source'@en	'business'@en
Q541947	P1343	Q615699	1	'anthem'@en	'described by source'@en	'Internet encyclopedia'@en
Q7239036	P1343	Q7725634	1	'prayer in the New Testament'@en	'described by source'@en	'literary work'@en
Q788460	P1343	Q217117	1	'Bagatelle'@en	'described by source'@en	'burlesque'@en
Q788460	P1343	Q35760	1	'Bagatelle'@en	'described by source'@en	'essay'@en
Q788460	P1343	Q571	1	'Bagatelle'@en	'described by source'@en	'book'@en
Q836950	P1343	Q1789476	1	'derivative work'@en	'described by source'@en	'bibliographic database'@en
Q836950	P1343	Q59825643	1	'derivative work'@en	'described by source'@en	'online music database'@en
Q836950	P1343	Q7094076	1	'derivative work'@en	'described by source'@en	'online database'@en
Q836950	P1343	Q847959	1	'derivative work'@en	'described by source'@en	'social cataloging application'@en
Q105543609	P1344	Q110288240	19	'musical work/composition'@en	'participant in'@en	'Eurovision Song Contest edition'@en
Q105543609	P1344	Q110616917	1	'musical work/composition'@en	'participant in'@en	'Melodifestivalen edition'@en
Q105543609	P1344	Q1407245	1	'musical work/composition'@en	'participant in'@en	'entertainment television show'@en
Q105543609	P1344	Q1955280	1	'musical work/composition'@en	'participant in'@en	'music competition'@en
