property	count	property;label	percentage
P646	9975	'Freebase ID'@en	94.73%
P7937	9795	'form of creative work'@en	93.02%
P577	7549	'publication date'@en	71.69%
P175	7091	'performer'@en	67.34%
P435	6153	'MusicBrainz work ID'@en	58.43%
P136	5884	'genre'@en	55.88%
P86	5232	'composer'@en	49.69%
P361	4019	'part of'@en	38.17%
P407	3759	'language of work or name'@en	35.7%
P1476	3239	'title'@en	30.76%
P264	3113	'record label'@en	29.56%
P676	3095	'lyrics by'@en	29.39%
P1827	2110	'ISWC'@en	20.04%
P2908	1620	'SecondHandSongs work ID'@en	15.38%
P155	1550	'follows'@en	14.72%
P156	1517	'followed by'@en	14.41%
P162	1510	'producer'@en	14.34%
P2624	1271	'MetroLyrics ID'@en	12.07%
P1994	1185	'AllMusic composition ID'@en	11.25%
P495	1136	'country of origin'@en	10.79%
P826	1090	'tonality'@en	10.35%
P1552	1078	'has quality'@en	10.24%
P528	1007	'catalog code'@en	9.56%
P1651	936	'YouTube video ID'@en	8.89%
P214	926	'VIAF ID'@en	8.79%
P5229	916	'Carnegie Hall work ID'@en	8.7%
P839	884	'IMSLP ID'@en	8.4%
P1889	884	'different from'@en	8.4%
P268	878	'Bibliothèque nationale de France ID'@en	8.34%
P244	872	'Library of Congress authority ID'@en	8.28%
P6216	843	'copyright status'@en	8.01%
P227	682	'GND ID'@en	6.48%
P870	674	'instrumentation'@en	6.4%
P571	543	'inception'@en	5.16%
P1954	543	'Discogs master ID'@en	5.16%
P436	432	'MusicBrainz release group ID'@en	4.1%
P373	419	'Commons category'@en	3.98%
P1417	418	'Encyclopædia Britannica Online ID'@en	3.97%
P1829	403	'Roud Folk Song Index number'@en	3.83%
P4969	386	'derivative work'@en	3.67%
P18	360	'image'@en	3.42%
P1191	327	'date of first performance'@en	3.11%
P2581	314	'BabelNet ID'@en	2.98%
P4894	299	'ACE Repertory work ID'@en	2.84%
P4860	285	'BMI work ID'@en	2.71%
P2671	274	'Google Knowledge Graph ID'@en	2.6%
P2635	235	'number of parts of this work'@en	2.23%
P144	216	'based on'@en	2.05%
P8189	195	'National Library of Israel J9U ID'@en	1.85%
P972	193	'catalog'@en	1.83%
P2047	193	'duration'@en	1.83%
P409	180	'Libraries Australia ID'@en	1.71%
P437	179	'distribution format'@en	1.7%
P51	173	'audio'@en	1.64%
P138	166	'named after'@en	1.58%
P17	163	'country'@en	1.55%
P921	151	'main subject'@en	1.43%
