domain	property	range	count
Q18127	P1004	external-id	7
Q746369	P1004	external-id	1
Q811430	P1004	external-id	1
Q18127	P1015	external-id	3
Q167270	P1015	external-id	1
Q24229398	P1015	external-id	1
Q18127	P10283	external-id	1
Q18127	P10291	external-id	2
Q2442401	P10291	external-id	1
Q4830453	P10291	external-id	1
Q658255	P10291	external-id	1
Q783794	P10291	external-id	1
Q169534	P10301	external-id	1
Q18127	P10301	external-id	1
Q1917775	P10301	external-id	1
Q18127	P10352	external-id	1
Q20739124	P10352	external-id	1
Q5354754	P10352	external-id	1
Q18127	P10550	external-id	2
Q4830453	P10550	external-id	2
Q5354754	P10550	external-id	2
Q6881511	P10550	external-id	2
Q891723	P10550	external-id	1
Q18127	P1059	external-id	1
Q18127	P1128	quantity	10
Q891723	P1128	quantity	4
Q2442401	P1128	quantity	3
Q5354754	P1128	quantity	3
Q1589009	P1128	quantity	1
Q169534	P1128	quantity	1
Q1917775	P1128	quantity	1
Q219577	P1128	quantity	1
Q4830453	P1128	quantity	1
Q708676	P1128	quantity	1
Q18127	P1167	external-id	1
Q4830453	P1167	external-id	1
Q6881511	P1167	external-id	1
Q18127	P1207	external-id	10
Q2442401	P1207	external-id	2
Q658255	P1207	external-id	1
Q746359	P1207	external-id	1
Q891723	P1207	external-id	1
Q18127	P1220	external-id	6
Q2442401	P1220	external-id	1
Q18127	P1278	external-id	3
Q2442401	P1278	external-id	1
Q891723	P1278	external-id	1
Q18127	P1292	external-id	1
Q18127	P1296	external-id	1
Q18127	P1297	external-id	2
Q163740	P1297	external-id	1
Q18127	P1315	external-id	6
Q1320047	P1315	external-id	1
Q1917775	P1315	external-id	1
Q3719391	P1315	external-id	1
Q1589009	P1317	time	1
Q18127	P1317	time	1
Q219577	P1317	time	1
Q2442401	P1317	time	1
Q4830453	P1317	time	1
Q18127	P1320	external-id	26
Q20739124	P1320	external-id	3
Q2442401	P1320	external-id	2
Q4830453	P1320	external-id	2
Q1137109	P1320	external-id	1
Q1542343	P1320	external-id	1
Q219577	P1320	external-id	1
Q48748864	P1320	external-id	1
Q6881511	P1320	external-id	1
Q778575	P1320	external-id	1
Q783794	P1320	external-id	1
Q18127	P1329	string	7
Q169534	P1329	string	1
Q1917775	P1329	string	1
Q7247847	P1329	string	1
Q18127	P1407	external-id	3
Q20671381	P1407	external-id	1
Q2608849	P1407	external-id	1
Q18127	P1417	external-id	42
Q2442401	P1417	external-id	2
Q4830453	P1417	external-id	2
Q6881511	P1417	external-id	2
Q1589009	P1417	external-id	1
Q167270	P1417	external-id	1
Q20739124	P1417	external-id	1
Q21484471	P1417	external-id	1
Q219577	P1417	external-id	1
Q24229398	P1417	external-id	1
Q746369	P1417	external-id	1
Q891723	P1417	external-id	1
Q18127	P1430	external-id	2
Q18127	P1448	monolingualtext	251
Q2608849	P1448	monolingualtext	30
Q2442401	P1448	monolingualtext	8
Q5354754	P1448	monolingualtext	7
Q891723	P1448	monolingualtext	5
