domain	property	range	count
Q215380	P101	Q188451	35
Q215380	P101	Q11921029	20
Q215380	P101	Q11862829	17
Q215380	P101	Q56055944	17
Q215380	P101	Q12737077	7
Q215380	P101	Q66715801	7
Q215380	P101	Q107487333	3
Q215380	P101	Q1047113	2
Q5741069	P101	Q12737077	2
Q5741069	P101	Q66715801	2
Q207338	P101	Q107487333	1
Q207338	P101	Q188451	1
Q215380	P101	Q106537557	1
Q215380	P101	Q12020884	1
Q215380	P101	Q19958368	1
Q215380	P101	Q4671286	1
Q215380	P101	Q75054287	1
Q215380	P101	Q862597	1
Q42998	P101	Q1047113	1
Q42998	P101	Q11862829	1
Q42998	P101	Q188451	1
Q42998	P101	Q4671286	1
Q84310035	P101	Q188451	1
Q9212979	P101	Q188451	1
Q207338	P1029	Q5	1
Q215380	P1029	Q5	1
Q215380	P1037	Q5	11
Q11446438	P1037	Q5	1
Q641066	P1037	Q5	1
Q215380	P106	Q12737077	85
Q215380	P106	Q28640	70
Q215380	P106	Q4164871	58
Q215380	P106	Q66715801	38
Q215380	P106	Q108300140	10
Q215380	P106	Q4220920	9
Q5	P106	Q12737077	6
Q281643	P106	Q12737077	5
Q5	P106	Q66715801	5
Q5	P106	Q108300140	4
Q281643	P106	Q28640	3
Q281643	P106	Q4164871	3
Q281643	P106	Q66715801	3
Q9212979	P106	Q28640	3
Q215380	P106	Q188451	2
Q215380	P106	Q6942574	2
Q5	P106	Q28640	2
Q5	P106	Q4164871	2
Q54982412	P106	Q28640	2
Q9212979	P106	Q12737077	2
Q9212979	P106	Q4164871	2
Q10648343	P106	Q12737077	1
Q10648343	P106	Q66715801	1
Q1141470	P106	Q12737077	1
Q1141470	P106	Q28640	1
Q1141470	P106	Q4164871	1
Q120544	P106	Q108300140	1
Q120544	P106	Q12737077	1
Q120544	P106	Q66715801	1
Q14073567	P106	Q12737077	1
Q14073567	P106	Q28640	1
Q14073567	P106	Q4164871	1
Q14073567	P106	Q4220920	1
Q14073567	P106	Q66715801	1
Q14756018	P106	Q12737077	1
Q14756018	P106	Q28640	1
Q14756018	P106	Q4164871	1
Q14946528	P106	Q12737077	1
Q14946528	P106	Q28640	1
Q14946528	P106	Q4164871	1
Q18127	P106	Q28640	1
Q18510489	P106	Q12737077	1
Q18510489	P106	Q28640	1
Q18510489	P106	Q4164871	1
Q19464263	P106	Q28640	1
Q216337	P106	Q108300140	1
Q216337	P106	Q12737077	1
Q216337	P106	Q66715801	1
Q2301325	P106	Q12737077	1
Q2301325	P106	Q28640	1
Q2301325	P106	Q4164871	1
Q2746731	P106	Q12737077	1
Q281643	P106	Q108300140	1
Q281643	P106	Q4220920	1
Q3046146	P106	Q12737077	1
Q3046146	P106	Q28640	1
Q3046146	P106	Q4164871	1
Q4830453	P106	Q28640	1
Q5741069	P106	Q4220920	1
Q5741069	P106	Q66715801	1
Q641066	P106	Q12737077	1
Q215380	P1071	Q1357964	1
Q215380	P108	Q194195	1
Q215380	P108	Q2001305	1
Q215380	P108	Q2416723	1
