domain	property	range	count	domain;label	property;label	range;label
Q105543609	P86	Q5	5173.0	'musical work/composition'@en	'composer'@en	'human'@en
Q58483083	P86	Q5	1452.0	'dramatico-musical work'@en	'composer'@en	'human'@en
Q134556	P86	Q5	506.0	'single'@en	'composer'@en	'human'@en
Q7366	P86	Q5	505.0	'song'@en	'composer'@en	'human'@en
Q105543609	P86	Q205178	223.0	'musical work/composition'@en	'composer'@en	'child prodigy'@en
Q105543609	P86	Q1062083	152.0	'musical work/composition'@en	'composer'@en	'billionaire'@en
Q15079786	P86	Q5	60.0	'ballet'@en	'composer'@en	'human'@en
Q23691	P86	Q5	59.0	'national anthem'@en	'composer'@en	'human'@en
Q105543609	P86	Q59755569	35.0	'musical work/composition'@en	'composer'@en	'special purpose artist'@en
Q58483088	P86	Q5	21.0	'choreographic work'@en	'composer'@en	'human'@en
Q58483083	P86	Q205178	20.0	'dramatico-musical work'@en	'composer'@en	'child prodigy'@en
Q856713	P86	Q5	19.0	'Christian hymn'@en	'composer'@en	'human'@en
Q63141557	P86	Q5	18.0	'translated song'@en	'composer'@en	'human'@en
Q105543609	P86	Q54982412	16.0	'musical work/composition'@en	'composer'@en	'songwriting team'@en
Q105543609	P86	Q215627	14.0	'musical work/composition'@en	'composer'@en	'person'@en
Q105543609	P86	Q9212979	14.0	'musical work/composition'@en	'composer'@en	'musical duo'@en
Q7302866	P86	Q5	12.0	'audio track'@en	'composer'@en	'human'@en
Q7725310	P86	Q5	12.0	'series of creative works'@en	'composer'@en	'human'@en
Q7725634	P86	Q5	12.0	'literary work'@en	'composer'@en	'human'@en
Q836950	P86	Q5	12.0	'derivative work'@en	'composer'@en	'human'@en
Q58483083	P86	Q1062083	11.0	'dramatico-musical work'@en	'composer'@en	'billionaire'@en
Q17489659	P86	Q5	10.0	'group of works'@en	'composer'@en	'human'@en
Q105543609	P86	Q10648343	9.0	'musical work/composition'@en	'composer'@en	'duo'@en
Q105543609	P86	Q215380	8.0	'musical work/composition'@en	'composer'@en	'musical group'@en
Q105543609	P86	Q84310035	7.0	'musical work/composition'@en	'composer'@en	'record production team'@en
Q59163902	P86	Q5	7.0	'musical production'@en	'composer'@en	'human'@en
Q17537576	P86	Q5	6.0	'creative work'@en	'composer'@en	'human'@en
Q484692	P86	Q5	6.0	'hymn'@en	'composer'@en	'human'@en
Q5185279	P86	Q5	6.0	'poem'@en	'composer'@en	'human'@en
Q134556	P86	Q54982412	5.0	'single'@en	'composer'@en	'songwriting team'@en
Q2031291	P86	Q5	5.0	'release'@en	'composer'@en	'human'@en
Q541947	P86	Q5	5.0	'anthem'@en	'composer'@en	'human'@en
Q7366	P86	Q54982412	5.0	'song'@en	'composer'@en	'songwriting team'@en
Q91192165	P86	Q5	5.0	'lyrical adaptation'@en	'composer'@en	'human'@en
Q1123037	P86	Q5	4.0	'nursery rhyme'@en	'composer'@en	'human'@en
Q1193470	P86	Q5	4.0	'theme music'@en	'composer'@en	'human'@en
Q134556	P86	Q215380	4.0	'single'@en	'composer'@en	'musical group'@en
Q1352567	P86	Q5	4.0	'missa brevis'@en	'composer'@en	'human'@en
Q2910675	P86	Q5	4.0	'unfinished creative work'@en	'composer'@en	'human'@en
Q3331189	P86	Q5	4.0	'version, edition, or translation'@en	'composer'@en	'human'@en
Q64027488	P86	Q5	4.0	'arrangement on a work of the public domain'@en	'composer'@en	'human'@en
Q7148059	P86	Q5	4.0	'patriotic song'@en	'composer'@en	'human'@en
Q7366	P86	Q215380	4.0	'song'@en	'composer'@en	'musical group'@en
Q105543609	P86	Q159979	3.0	'musical work/composition'@en	'composer'@en	'twin'@en
Q106393147	P86	Q5	3.0	'television opera'@en	'composer'@en	'human'@en
Q134556	P86	Q1062083	3.0	'single'@en	'composer'@en	'billionaire'@en
Q134556	P86	Q10648343	3.0	'single'@en	'composer'@en	'duo'@en
Q134556	P86	Q5741069	3.0	'single'@en	'composer'@en	'rock group'@en
Q1352567	P86	Q205178	3.0	'missa brevis'@en	'composer'@en	'child prodigy'@en
Q17489659	P86	Q205178	3.0	'group of works'@en	'composer'@en	'child prodigy'@en
Q17537576	P86	Q205178	3.0	'creative work'@en	'composer'@en	'child prodigy'@en
Q1802243	P86	Q5	3.0	'regional anthem'@en	'composer'@en	'human'@en
Q182659	P86	Q5	3.0	'ballad'@en	'composer'@en	'human'@en
Q18460285	P86	Q5	3.0	'musical setting'@en	'composer'@en	'human'@en
Q207628	P86	Q5	3.0	'musical composition'@en	'composer'@en	'human'@en
Q2302678	P86	Q5	3.0	'clarinet concerto'@en	'composer'@en	'human'@en
Q253137	P86	Q5	3.0	'rock opera'@en	'composer'@en	'human'@en
Q43099500	P86	Q5	3.0	'performing arts production'@en	'composer'@en	'human'@en
Q482994	P86	Q5	3.0	'album'@en	'composer'@en	'human'@en
Q7366	P86	Q10648343	3.0	'song'@en	'composer'@en	'duo'@en
Q7366	P86	Q5741069	3.0	'song'@en	'composer'@en	'rock group'@en
Q788460	P86	Q5	3.0	'Bagatelle'@en	'composer'@en	'human'@en
Q105543609	P86	Q5741069	2.0	'musical work/composition'@en	'composer'@en	'rock group'@en
Q134556	P86	Q84310035	2.0	'single'@en	'composer'@en	'record production team'@en
Q209741	P86	Q5	2.0	'programme music'@en	'composer'@en	'human'@en
Q2188189	P86	Q5	2.0	'musical work'@en	'composer'@en	'human'@en
Q2298624	P86	Q5	2.0	'soldier\'s song'@en	'composer'@en	'human'@en
Q245596	P86	Q5	2.0	'cycle'@en	'composer'@en	'human'@en
Q2910675	P86	Q205178	2.0	'unfinished creative work'@en	'composer'@en	'child prodigy'@en
Q3815189	P86	Q5	2.0	'musical hoax'@en	'composer'@en	'human'@en
Q58483083	P86	Q5741069	2.0	'dramatico-musical work'@en	'composer'@en	'rock group'@en
Q64027488	P86	Q59755569	2.0	'arrangement on a work of the public domain'@en	'composer'@en	'special purpose artist'@en
Q7366	P86	Q1062083	2.0	'song'@en	'composer'@en	'billionaire'@en
Q7366	P86	Q84310035	2.0	'song'@en	'composer'@en	'record production team'@en
Q8053529	P86	Q5	2.0	'Yiddish song'@en	'composer'@en	'human'@en
Q929848	P86	Q5	2.0	'movement'@en	'composer'@en	'human'@en
Q1030329	P86	Q5	1.0	'viral video'@en	'composer'@en	'human'@en
Q1053427	P86	Q5	1.0	'scordatura'@en	'composer'@en	'human'@en
Q105543609	P86	Q107356781	1.0	'musical work/composition'@en	'composer'@en	'song type'@en
Q105543609	P86	Q14073567	1.0	'musical work/composition'@en	'composer'@en	'sibling duo'@en
Q105543609	P86	Q2995644	1.0	'musical work/composition'@en	'composer'@en	'result'@en
Q105543609	P86	Q3152824	1.0	'musical work/composition'@en	'composer'@en	'cultural institution'@en
Q105543609	P86	Q50424085	1.0	'musical work/composition'@en	'composer'@en	'copyright status'@en
Q105543609	P86	Q7247847	1.0	'musical work/composition'@en	'composer'@en	'production team'@en
Q1063010	P86	Q5	1.0	'character piece'@en	'composer'@en	'human'@en
Q107357104	P86	Q5	1.0	'type of dance'@en	'composer'@en	'human'@en
Q108346082	P86	Q5	1.0	'release group'@en	'composer'@en	'human'@en
Q11311300	P86	Q5	1.0		'composer'@en	'human'@en
Q119272	P86	Q5	1.0	'ballad opera'@en	'composer'@en	'human'@en
Q1344	P86	Q5	1.0	'opera'@en	'composer'@en	'human'@en
Q134556	P86	Q1002697	1.0	'single'@en	'composer'@en	'periodical'@en
Q134556	P86	Q12340140	1.0	'single'@en	'composer'@en	'weekly magazine'@en
Q134556	P86	Q2085381	1.0	'single'@en	'composer'@en	'publisher'@en
Q134556	P86	Q22808320	1.0	'single'@en	'composer'@en	'Wikimedia human name disambiguation page'@en
Q134556	P86	Q4167410	1.0	'single'@en	'composer'@en	'Wikimedia disambiguation page'@en
Q134556	P86	Q9212979	1.0	'single'@en	'composer'@en	'musical duo'@en
Q1385610	P86	Q5	1.0	'excerpt'@en	'composer'@en	'human'@en
Q1443637	P86	Q5	1.0	'tetralogy'@en	'composer'@en	'human'@en
Q15079132	P86	Q5	1.0	'Christian prayer'@en	'composer'@en	'human'@en
Q170384	P86	Q5	1.0	'operetta'@en	'composer'@en	'human'@en
Q17538722	P86	Q5	1.0	'performance work'@en	'composer'@en	'human'@en
Q17851193	P86	Q5	1.0	'opera cycle'@en	'composer'@en	'human'@en
Q178985	P86	Q5	1.0	'ode'@en	'composer'@en	'human'@en
Q182659	P86	Q59755569	1.0	'ballad'@en	'composer'@en	'special purpose artist'@en
Q184485	P86	Q5	1.0	'performing arts'@en	'composer'@en	'human'@en
Q187947	P86	Q5	1.0	'sheet music'@en	'composer'@en	'human'@en
Q193605	P86	Q5	1.0	'lullaby'@en	'composer'@en	'human'@en
Q19545459	P86	Q5	1.0	'missa solemnis'@en	'composer'@en	'human'@en
Q20202269	P86	Q5	1.0	'musical term'@en	'composer'@en	'human'@en
Q20437094	P86	Q5	1.0	'installation artwork'@en	'composer'@en	'human'@en
Q2058312	P86	Q5	1.0	'patter song'@en	'composer'@en	'human'@en
Q21848887	P86	Q5	1.0	'Christmas hymn'@en	'composer'@en	'human'@en
Q21848887	P86	Q59755569	1.0	'Christmas hymn'@en	'composer'@en	'special purpose artist'@en
Q2207959	P86	Q5	1.0	'masque'@en	'composer'@en	'human'@en
Q221290	P86	Q5	1.0	'monodrama'@en	'composer'@en	'human'@en
Q22808060	P86	Q5	1.0	'state song of a state of the United States'@en	'composer'@en	'human'@en
Q230052	P86	Q5	1.0	'tongue-twister'@en	'composer'@en	'human'@en
Q2302678	P86	Q205178	1.0	'clarinet concerto'@en	'composer'@en	'child prodigy'@en
Q2470219	P86	Q5	1.0	'Christmas hit single'@en	'composer'@en	'human'@en
Q24856	P86	Q5	1.0	'film series'@en	'composer'@en	'human'@en
Q24992028	P86	Q5	1.0	'musical series'@en	'composer'@en	'human'@en
Q253137	P86	Q1062083	1.0	'rock opera'@en	'composer'@en	'billionaire'@en
Q2617970	P86	Q5	1.0	'pentalogy'@en	'composer'@en	'human'@en
Q2746731	P86	Q1077857	1.0	'parody music'@en	'composer'@en	'persona'@en
Q2746731	P86	Q15632617	1.0	'parody music'@en	'composer'@en	'fictional human'@en
Q3408995	P86	Q5	1.0	'prelude and fugue'@en	'composer'@en	'human'@en
Q34508	P86	Q10648343	1.0	'video recording'@en	'composer'@en	'duo'@en
Q3764113	P86	Q5	1.0	'dance choreography'@en	'composer'@en	'human'@en
Q41270	P86	Q5	1.0	'Cavatina'@en	'composer'@en	'human'@en
Q47461344	P86	Q5	1.0	'written work'@en	'composer'@en	'human'@en
Q482994	P86	Q5741069	1.0	'album'@en	'composer'@en	'rock group'@en
Q482994	P86	Q9212979	1.0	'album'@en	'composer'@en	'musical duo'@en
Q493169	P86	Q5	1.0	'children\'s song'@en	'composer'@en	'human'@en
Q503354	P86	Q5	1.0	'Christmas carol'@en	'composer'@en	'human'@en
Q5126979	P86	Q205178	1.0	'clarinet-viola-piano trio'@en	'composer'@en	'child prodigy'@en
Q5126979	P86	Q5	1.0	'clarinet-viola-piano trio'@en	'composer'@en	'human'@en
Q5156725	P86	Q5	1.0	'Composer tributes'@en	'composer'@en	'human'@en
Q55850593	P86	Q5	1.0	'music track with vocals'@en	'composer'@en	'human'@en
Q581714	P86	Q5	1.0	'animated series'@en	'composer'@en	'human'@en
Q58483083	P86	Q1077857	1.0	'dramatico-musical work'@en	'composer'@en	'persona'@en
Q58483083	P86	Q15632617	1.0	'dramatico-musical work'@en	'composer'@en	'fictional human'@en
Q59163902	P86	Q1062083	1.0	'musical production'@en	'composer'@en	'billionaire'@en
Q623823	P86	Q5	1.0	'arabesque'@en	'composer'@en	'human'@en
Q63243766	P86	Q5	1.0	'Anglican hymn'@en	'composer'@en	'human'@en
Q63412991	P86	Q5	1.0	'YouTube video'@en	'composer'@en	'human'@en
Q64027488	P86	Q50424085	1.0	'arrangement on a work of the public domain'@en	'composer'@en	'copyright status'@en
Q65069441	P86	Q5	1.0	'Singlovi 2017'@en	'composer'@en	'human'@en
Q6942465	P86	Q5	1.0	'music written in all 24 major and minor keys'@en	'composer'@en	'human'@en
Q6942562	P86	Q5	1.0	'musical performance'@en	'composer'@en	'human'@en
Q717040	P86	Q5	1.0	'Christmas tradition'@en	'composer'@en	'human'@en
Q7257727	P86	Q59755569	1.0	'public domain music'@en	'composer'@en	'special purpose artist'@en
Q7366	P86	Q1002697	1.0	'song'@en	'composer'@en	'periodical'@en
Q7366	P86	Q12340140	1.0	'song'@en	'composer'@en	'weekly magazine'@en
Q7366	P86	Q2085381	1.0	'song'@en	'composer'@en	'publisher'@en
Q7366	P86	Q22808320	1.0	'song'@en	'composer'@en	'Wikimedia human name disambiguation page'@en
Q7366	P86	Q4167410	1.0	'song'@en	'composer'@en	'Wikimedia disambiguation page'@en
Q7366	P86	Q9212979	1.0	'song'@en	'composer'@en	'musical duo'@en
Q7725310	P86	Q205178	1.0	'series of creative works'@en	'composer'@en	'child prodigy'@en
Q7777570	P86	Q5	1.0	'theatrical production'@en	'composer'@en	'human'@en
Q785522	P86	Q5	1.0	'Italian opera'@en	'composer'@en	'human'@en
Q811979	P86	Q5	1.0	'architectural structure'@en	'composer'@en	'human'@en
Q824979	P86	Q5	1.0	'group'@en	'composer'@en	'human'@en
Q852027	P86	Q5	1.0	'impromptu'@en	'composer'@en	'human'@en
Q856713	P86	Q59755569	1.0	'Christian hymn'@en	'composer'@en	'special purpose artist'@en
Q860861	P86	Q5	1.0	'sculpture'@en	'composer'@en	'human'@en
Q87167	P86	Q5	1.0	'manuscript'@en	'composer'@en	'human'@en
Q873000	P86	Q5	1.0	'canzone'@en	'composer'@en	'human'@en
Q88392887	P86	Q5	1.0	'part of a work'@en	'composer'@en	'human'@en
Q105543609	P7937	Q107487333	9697.0	'musical work/composition'@en	'form of creative work'@en	'type of musical work/composition'@en
Q105543609	P7937	Q11921029	8515.0	'musical work/composition'@en	'form of creative work'@en	'musical style'@en
Q105543609	P7937	Q4263830	8475.0	'musical work/composition'@en	'form of creative work'@en	'literary form'@en
Q58483083	P7937	Q110013851	1715.0	'dramatico-musical work'@en	'form of creative work'@en	'type of theatrical work'@en
Q58483083	P7937	Q188451	1711.0	'dramatico-musical work'@en	'form of creative work'@en	'music genre'@en
Q58483083	P7937	Q7777573	1711.0	'dramatico-musical work'@en	'form of creative work'@en	'theatrical genre'@en
Q58483083	P7937	Q862597	1348.0	'dramatico-musical work'@en	'form of creative work'@en	'musical form'@en
Q105543609	P7937	Q862597	784.0	'musical work/composition'@en	'form of creative work'@en	'musical form'@en
Q105543609	P7937	Q188451	679.0	'musical work/composition'@en	'form of creative work'@en	'music genre'@en
Q182659	P7937	Q107487333	204.0	'ballad'@en	'form of creative work'@en	'type of musical work/composition'@en
Q182659	P7937	Q11921029	204.0	'ballad'@en	'form of creative work'@en	'musical style'@en
Q182659	P7937	Q4263830	204.0	'ballad'@en	'form of creative work'@en	'literary form'@en
Q7366	P7937	Q106043376	84.0	'song'@en	'form of creative work'@en	'music release type'@en
Q134556	P7937	Q106043376	74.0	'single'@en	'form of creative work'@en	'music release type'@en
Q105543609	P7937	Q20202269	61.0	'musical work/composition'@en	'form of creative work'@en	'musical term'@en
