domain	property	range	count	domain;label	property;label	range;label
Q105543609	P361	Q482994	3524.0	'musical work/composition'@en	'part of'@en	'album'@en
Q105543609	P86	Q5	5173.0	'musical work/composition'@en	'composer'@en	'human'@en
Q105543609	P162	Q5	1436.0	'musical work/composition'@en	'producer'@en	'human'@en
Q105543609	P156	Q134556	813.0	'musical work/composition'@en	'followed by'@en	'single'@en
Q105543609	P156	Q105543609	635.0	'musical work/composition'@en	'followed by'@en	'musical work/composition'@en
Q105543609	P646	external-id	9975.0	'musical work/composition'@en	'Freebase ID'@en	
Q105543609	P1476	monolingualtext	3239.0	'musical work/composition'@en	'title'@en	
Q105543609	P407	Q34770	3523.0	'musical work/composition'@en	'language of work or name'@en	'language'@en
Q105543609	P407	Q1288568	3504.0	'musical work/composition'@en	'language of work or name'@en	'modern language'@en
Q105543609	P407	Q33742	2970.0	'musical work/composition'@en	'language of work or name'@en	'natural language'@en
Q105543609	P577	time	7549.0	'musical work/composition'@en	'publication date'@en	
Q105543609	P495	Q3624078	1105.0	'musical work/composition'@en	'country of origin'@en	'sovereign state'@en
Q105543609	P495	Q6256	1094.0	'musical work/composition'@en	'country of origin'@en	'country'@en
Q105543609	P495	Q512187	692.0	'musical work/composition'@en	'country of origin'@en	'federal republic'@en
Q105543609	P495	Q1520223	686.0	'musical work/composition'@en	'country of origin'@en	'constitutional republic'@en
Q105543609	P495	Q5255892	685.0	'musical work/composition'@en	'country of origin'@en	'democratic republic'@en
Q105543609	P495	Q99541706	676.0	'musical work/composition'@en	'country of origin'@en	'historical unrecognized state'@en
Q105543609	P495	Q1489259	674.0	'musical work/composition'@en	'country of origin'@en	'superpower'@en
Q105543609	P264	Q18127	2993.0	'musical work/composition'@en	'record label'@en	'record label'@en
Q105543609	P676	Q5	3063.0	'musical work/composition'@en	'lyrics by'@en	'human'@en
Q105543609	P7937	Q107487333	9697.0	'musical work/composition'@en	'form of creative work'@en	'type of musical work/composition'@en
Q105543609	P7937	Q11921029	8515.0	'musical work/composition'@en	'form of creative work'@en	'musical style'@en
Q105543609	P7937	Q4263830	8475.0	'musical work/composition'@en	'form of creative work'@en	'literary form'@en
Q105543609	P175	Q5	4518.0	'musical work/composition'@en	'performer'@en	'human'@en
Q105543609	P155	Q134556	853.0	'musical work/composition'@en	'follows'@en	'single'@en
Q105543609	P155	Q105543609	649.0	'musical work/composition'@en	'follows'@en	'musical work/composition'@en
Q105543609	P1827	external-id	2110.0	'musical work/composition'@en	'ISWC'@en	
Q105543609	P435	external-id	6153.0	'musical work/composition'@en	'MusicBrainz work ID'@en	
Q105543609	P136	Q188451	5779.0	'musical work/composition'@en	'genre'@en	'music genre'@en
