property	count	property;label
P646	13916	'Freebase ID'@en
P7937	11610	'form of creative work'@en
P577	10332	'publication date'@en
P175	9222	'performer'@en
P136	8449	'genre'@en
P435	7968	'MusicBrainz work ID'@en
P86	7306	'composer'@en
P361	5777	'part of'@en
P407	5507	'language of work or name'@en
P264	4996	'record label'@en
P676	4254	'lyrics by'@en
P1476	4093	'title'@en
P156	2904	'followed by'@en
P155	2890	'follows'@en
P162	2517	'producer'@en
P495	2344	'country of origin'@en
P1827	2204	'ISWC'@en
