domain	property	range	count	domain;label	property;label	range;label
Q169930	P136	Q188451	2861	'extended play'@en	'genre'@en	'music genre'@en
Q169930	P136	Q589183	299	'extended play'@en	'genre'@en	'radio format'@en
Q169930	P136	Q28820001	63	'extended play'@en	'genre'@en	'music scene'@en
Q482994	P136	Q188451	52	'album'@en	'genre'@en	'music genre'@en
Q134556	P136	Q188451	22	'single'@en	'genre'@en	'music genre'@en
Q169930	P136	Q11921029	11	'extended play'@en	'genre'@en	'musical style'@en
Q482994	P136	Q589183	10	'album'@en	'genre'@en	'radio format'@en
Q59854802	P136	Q188451	10	'live extended play'@en	'genre'@en	'music genre'@en
Q169930	P136	Q107565306	9	'extended play'@en	'genre'@en	'music by language'@en
Q65598493	P136	Q188451	7	'collaborative extended play'@en	'genre'@en	'music genre'@en
Q169930	P136	Q108465955	5	'extended play'@en	'genre'@en	'fiction genre'@en
Q169930	P136	Q12020884	5	'extended play'@en	'genre'@en	'music movement'@en
Q169930	P136	Q862597	5	'extended play'@en	'genre'@en	'musical form'@en
Q60713210	P136	Q188451	5	'split extended play'@en	'genre'@en	'music genre'@en
Q368281	P136	Q188451	4	'split album'@en	'genre'@en	'music genre'@en
Q2073093	P136	Q188451	3	'mini-LP'@en	'genre'@en	'music genre'@en
Q62019336	P136	Q188451	3	'remix EP'@en	'genre'@en	'music genre'@en
Q10590726	P136	Q188451	2	'video album'@en	'genre'@en	'music genre'@en
Q11424	P136	Q188451	2	'film'@en	'genre'@en	'music genre'@en
Q11424	P136	Q589183	2	'film'@en	'genre'@en	'radio format'@en
Q169930	P136	Q107356781	2	'extended play'@en	'genre'@en	'song type'@en
Q169930	P136	Q20202269	2	'extended play'@en	'genre'@en	'musical term'@en
Q169930	P136	Q3326717	2	'extended play'@en	'genre'@en	'literary movement'@en
Q169930	P136	Q968159	2	'extended play'@en	'genre'@en	'art movement'@en
Q105543609	P136	Q188451	1	'musical work/composition'@en	'genre'@en	'music genre'@en
Q169930	P136	Q105756498	1	'extended play'@en	'genre'@en	'type of musical ensemble/group'@en
Q169930	P136	Q107357104	1	'extended play'@en	'genre'@en	'type of dance'@en
Q169930	P136	Q1194240	1	'extended play'@en	'genre'@en	'science fiction genre'@en
Q169930	P136	Q1616075	1	'extended play'@en	'genre'@en	'television station'@en
Q169930	P136	Q18127	1	'extended play'@en	'genre'@en	'record label'@en
Q169930	P136	Q19116554	1	'extended play'@en	'genre'@en	'youth subculture'@en
Q169930	P136	Q201658	1	'extended play'@en	'genre'@en	'film genre'@en
Q169930	P136	Q2198855	1	'extended play'@en	'genre'@en	'cultural movement'@en
Q169930	P136	Q264965	1	'extended play'@en	'genre'@en	'subculture'@en
Q169930	P136	Q5009242	1	'extended play'@en	'genre'@en	'cable channel'@en
Q169930	P136	Q5484828	1	'extended play'@en	'genre'@en	'cyberpunk derivative form'@en
Q169930	P136	Q561068	1	'extended play'@en	'genre'@en	'specialty channel'@en
Q169930	P136	Q59913930	1	'extended play'@en	'genre'@en	'recording industry term'@en
Q170584	P136	Q188451	1	'project'@en	'genre'@en	'music genre'@en
Q20671381	P136	Q188451	1	'album series'@en	'genre'@en	'music genre'@en
Q20671381	P136	Q589183	1	'album series'@en	'genre'@en	'radio format'@en
Q2073093	P136	Q589183	1	'mini-LP'@en	'genre'@en	'radio format'@en
Q2707384	P136	Q188451	1	'side project'@en	'genre'@en	'music genre'@en
Q482994	P136	Q201658	1	'album'@en	'genre'@en	'film genre'@en
Q5741069	P136	Q188451	1	'rock group'@en	'genre'@en	'music genre'@en
Q59557805	P136	Q188451	1	'unreleased album'@en	'genre'@en	'music genre'@en
Q65598493	P136	Q28820001	1	'collaborative extended play'@en	'genre'@en	'music scene'@en
Q7366	P136	Q188451	1	'song'@en	'genre'@en	'music genre'@en
Q169930	P138	Q169930	1	'extended play'@en	'named after'@en	'extended play'@en
Q169930	P138	Q215380	1	'extended play'@en	'named after'@en	'musical group'@en
Q169930	P138	Q43229	1	'extended play'@en	'named after'@en	'organization'@en
Q169930	P138	Q5	1	'extended play'@en	'named after'@en	'human'@en
Q169930	P138	Q938236	1	'extended play'@en	'named after'@en	'panel'@en
Q169930	P1411	Q38033430	2	'extended play'@en	'nominated for'@en	'class of award'@en
Q2073093	P1411	Q38033430	1	'mini-LP'@en	'nominated for'@en	'class of award'@en
Q482994	P1411	Q38033430	1	'album'@en	'nominated for'@en	'class of award'@en
Q169930	P155	Q482994	1593	'extended play'@en	'follows'@en	'album'@en
Q169930	P155	Q169930	663	'extended play'@en	'follows'@en	'extended play'@en
Q169930	P155	Q134556	70	'extended play'@en	'follows'@en	'single'@en
Q482994	P155	Q482994	47	'album'@en	'follows'@en	'album'@en
Q169930	P155	Q215380	27	'extended play'@en	'follows'@en	'musical group'@en
Q482994	P155	Q169930	11	'album'@en	'follows'@en	'extended play'@en
Q169930	P155	Q5	9	'extended play'@en	'follows'@en	'human'@en
Q134556	P155	Q482994	8	'single'@en	'follows'@en	'album'@en
Q134556	P155	Q134556	7	'single'@en	'follows'@en	'single'@en
Q169930	P155	Q105543609	6	'extended play'@en	'follows'@en	'musical work/composition'@en
Q169930	P155	Q273057	5	'extended play'@en	'follows'@en	'discography'@en
Q59854802	P155	Q482994	5	'live extended play'@en	'follows'@en	'album'@en
Q134556	P155	Q169930	4	'single'@en	'follows'@en	'extended play'@en
Q169930	P155	Q7366	4	'extended play'@en	'follows'@en	'song'@en
Q169930	P155	Q10590726	3	'extended play'@en	'follows'@en	'video album'@en
Q169930	P155	Q220935	3	'extended play'@en	'follows'@en	'demo'@en
Q169930	P155	Q5741069	3	'extended play'@en	'follows'@en	'rock group'@en
Q169930	P155	Q11424	2	'extended play'@en	'follows'@en	'film'@en
Q169930	P155	Q2088357	2	'extended play'@en	'follows'@en	'musical ensemble'@en
Q169930	P155	Q59557805	2	'extended play'@en	'follows'@en	'unreleased album'@en
Q169930	P155	Q62019336	2	'extended play'@en	'follows'@en	'remix EP'@en
Q169930	P155	Q65598493	2	'extended play'@en	'follows'@en	'collaborative extended play'@en
Q169930	P155	Q80071	2	'extended play'@en	'follows'@en	'symbol'@en
Q2073093	P155	Q482994	2	'mini-LP'@en	'follows'@en	'album'@en
Q62019336	P155	Q482994	2	'remix EP'@en	'follows'@en	'album'@en
Q65598493	P155	Q482994	2	'collaborative extended play'@en	'follows'@en	'album'@en
Q10590726	P155	Q10590726	1	'video album'@en	'follows'@en	'video album'@en
Q10590726	P155	Q169930	1	'video album'@en	'follows'@en	'extended play'@en
Q10590726	P155	Q482994	1	'video album'@en	'follows'@en	'album'@en
Q134556	P155	Q105543609	1	'single'@en	'follows'@en	'musical work/composition'@en
Q134556	P155	Q7366	1	'single'@en	'follows'@en	'song'@en
Q169930	P155	Q14623351	1	'extended play'@en	'follows'@en	'radio series'@en
Q169930	P155	Q15310171	1	'extended play'@en	'follows'@en	'seaport'@en
Q169930	P155	Q1549591	1	'extended play'@en	'follows'@en	'big city'@en
Q169930	P155	Q1997853	1	'extended play'@en	'follows'@en	'hit'@en
Q169930	P155	Q2073093	1	'extended play'@en	'follows'@en	'mini-LP'@en
Q169930	P155	Q216337	1	'extended play'@en	'follows'@en	'boy band'@en
Q169930	P155	Q2619673	1	'extended play'@en	'follows'@en	'DJ mix'@en
Q169930	P155	Q3046922	1	'extended play'@en	'follows'@en	'maxi single'@en
Q169930	P155	Q515	1	'extended play'@en	'follows'@en	'city'@en
Q169930	P155	Q59854802	1	'extended play'@en	'follows'@en	'live extended play'@en
Q169930	P155	Q9212979	1	'extended play'@en	'follows'@en	'musical duo'@en
Q368281	P155	Q169930	1	'split album'@en	'follows'@en	'extended play'@en
Q368281	P155	Q482994	1	'split album'@en	'follows'@en	'album'@en
Q482994	P155	Q134556	1	'album'@en	'follows'@en	'single'@en
Q482994	P155	Q14623351	1	'album'@en	'follows'@en	'radio series'@en
Q5741069	P155	Q482994	1	'rock group'@en	'follows'@en	'album'@en
Q59854802	P155	Q169930	1	'live extended play'@en	'follows'@en	'extended play'@en
Q60713210	P155	Q169930	1	'split extended play'@en	'follows'@en	'extended play'@en
Q60713210	P155	Q482994	1	'split extended play'@en	'follows'@en	'album'@en
Q62019336	P155	Q169930	1	'remix EP'@en	'follows'@en	'extended play'@en
Q65598493	P155	Q65598493	1	'collaborative extended play'@en	'follows'@en	'collaborative extended play'@en
Q169930	P1552	Q108040195	39	'extended play'@en	'has quality'@en	'music release attribute'@en
Q169930	P1552	Q1207505	9	'extended play'@en	'has quality'@en	'quality'@en
Q169930	P1552	Q151885	9	'extended play'@en	'has quality'@en	'concept'@en
Q169930	P1552	Q59913930	7	'extended play'@en	'has quality'@en	'recording industry term'@en
Q169930	P1552	Q81947509	3	'extended play'@en	'has quality'@en	'album type'@en
Q134556	P1552	Q108040195	2	'single'@en	'has quality'@en	'music release attribute'@en
Q134556	P1552	Q59913930	2	'single'@en	'has quality'@en	'recording industry term'@en
Q169930	P1552	Q106043376	1	'extended play'@en	'has quality'@en	'music release type'@en
Q482994	P1552	Q108040195	1	'album'@en	'has quality'@en	'music release attribute'@en
Q482994	P1552	Q59913930	1	'album'@en	'has quality'@en	'recording industry term'@en
Q7366	P1552	Q108040195	1	'song'@en	'has quality'@en	'music release attribute'@en
Q7366	P1552	Q59913930	1	'song'@en	'has quality'@en	'recording industry term'@en
Q169930	P156	Q482994	2115	'extended play'@en	'followed by'@en	'album'@en
Q169930	P156	Q169930	639	'extended play'@en	'followed by'@en	'extended play'@en
Q169930	P156	Q134556	90	'extended play'@en	'followed by'@en	'single'@en
Q482994	P156	Q482994	47	'album'@en	'followed by'@en	'album'@en
Q169930	P156	Q215380	19	'extended play'@en	'followed by'@en	'musical group'@en
Q134556	P156	Q482994	12	'single'@en	'followed by'@en	'album'@en
Q134556	P156	Q134556	11	'single'@en	'followed by'@en	'single'@en
Q482994	P156	Q169930	11	'album'@en	'followed by'@en	'extended play'@en
Q169930	P156	Q5	10	'extended play'@en	'followed by'@en	'human'@en
Q59854802	P156	Q482994	6	'live extended play'@en	'followed by'@en	'album'@en
Q169930	P156	Q7366	5	'extended play'@en	'followed by'@en	'song'@en
Q169930	P156	Q105543609	4	'extended play'@en	'followed by'@en	'musical work/composition'@en
Q169930	P156	Q11424	4	'extended play'@en	'followed by'@en	'film'@en
Q169930	P156	Q4167410	4	'extended play'@en	'followed by'@en	'Wikimedia disambiguation page'@en
Q2073093	P156	Q482994	4	'mini-LP'@en	'followed by'@en	'album'@en
Q65598493	P156	Q482994	4	'collaborative extended play'@en	'followed by'@en	'album'@en
Q60713210	P156	Q482994	3	'split extended play'@en	'followed by'@en	'album'@en
Q62019336	P156	Q482994	3	'remix EP'@en	'followed by'@en	'album'@en
Q169930	P156	Q10590726	2	'extended play'@en	'followed by'@en	'video album'@en
Q169930	P156	Q2073093	2	'extended play'@en	'followed by'@en	'mini-LP'@en
Q169930	P156	Q2088357	2	'extended play'@en	'followed by'@en	'musical ensemble'@en
Q169930	P156	Q220935	2	'extended play'@en	'followed by'@en	'demo'@en
Q169930	P156	Q273057	2	'extended play'@en	'followed by'@en	'discography'@en
Q169930	P156	Q5741069	2	'extended play'@en	'followed by'@en	'rock group'@en
Q169930	P156	Q59854802	2	'extended play'@en	'followed by'@en	'live extended play'@en
Q169930	P156	Q62019336	2	'extended play'@en	'followed by'@en	'remix EP'@en
Q169930	P156	Q65598493	2	'extended play'@en	'followed by'@en	'collaborative extended play'@en
Q368281	P156	Q169930	2	'split album'@en	'followed by'@en	'extended play'@en
Q482994	P156	Q59854802	2	'album'@en	'followed by'@en	'live extended play'@en
Q105543609	P156	Q105543609	1	'musical work/composition'@en	'followed by'@en	'musical work/composition'@en
Q10590726	P156	Q11424	1	'video album'@en	'followed by'@en	'film'@en
Q10590726	P156	Q169930	1	'video album'@en	'followed by'@en	'extended play'@en
Q10590726	P156	Q482994	1	'video album'@en	'followed by'@en	'album'@en
Q134556	P156	Q169930	1	'single'@en	'followed by'@en	'extended play'@en
Q134556	P156	Q7366	1	'single'@en	'followed by'@en	'song'@en
Q169930	P156	Q104635718	1	'extended play'@en	'followed by'@en	'Wikimedia artist discography'@en
Q169930	P156	Q106042566	1	'extended play'@en	'followed by'@en	'single album'@en
Q169930	P156	Q107154516	1	'extended play'@en	'followed by'@en	'mini album'@en
Q169930	P156	Q16909656	1	'extended play'@en	'followed by'@en	'Monty Python sketch'@en
Q169930	P156	Q368281	1	'extended play'@en	'followed by'@en	'split album'@en
Q169930	P156	Q430525	1	'extended play'@en	'followed by'@en	'concert film'@en
Q169930	P156	Q56816954	1	'extended play'@en	'followed by'@en	'heavy metal band'@en
Q169930	P156	Q59557805	1	'extended play'@en	'followed by'@en	'unreleased album'@en
