property	count	property;label
P175	61772	'performer'@en
P577	60742	'publication date'@en
P646	59784	'Freebase ID'@en
P136	54621	'genre'@en
P264	49054	'record label'@en
P436	49051	'MusicBrainz release group ID'@en
P156	44289	'followed by'@en
P155	43320	'follows'@en
P1954	38308	'Discogs master ID'@en
P7937	19772	'form of creative work'@en
P162	18362	'producer'@en
P407	17572	'language of work or name'@en
P1729	13609	'AllMusic album ID'@en
P437	11735	'distribution format'@en
P1476	9007	'title'@en
P2205	8252	'Spotify album ID'@en
P5749	7850	'Amazon Standard Identification Number'@en
P495	5996	'country of origin'@en
P361	5375	'part of'@en
P1712	5225	'Metacritic ID'@en
P291	4021	'place of publication'@en
P2635	3808	'number of parts of this work'@en
P2047	3624	'duration'@en
P658	2715	'tracklist'@en
P2581	2376	'BabelNet ID'@en
P1889	2175	'different from'@en
P1552	1779	'has quality'@en
P4300	1135	'YouTube playlist ID'@en
P2721	1102	'Encyclopaedia Metallum release ID'@en
P8411	1025	'set in environment'@en
P2206	897	'Discogs release ID'@en
P8856	872	'British Phonographic Industry ID'@en
P856	826	'official website'@en
P483	786	'recorded at studio or venue'@en
P2671	737	'Google Knowledge Graph ID'@en
P444	722	'review score'@en
P179	684	'part of the series'@en
P1417	654	'Encyclopædia Britannica Online ID'@en
P3417	583	'Quora topic ID'@en
P10262	410	'Offizielle Deutsche Charts album ID'@en
P1680	378	'subtitle'@en
P8392	362	'Rate Your Music release ID'@en
P1259	356	'coordinates of the point of view'@en
P2291	306	'charted in'@en
P750	299	'distributed by'@en
P2723	243	'Deezer album ID'@en
P3192	242	'Last.fm ID'@en
P1316	229	'Swedish Media Database ID'@en
P6217	221	'Genius album ID'@en
P2819	219	'Yandex Music release ID'@en
P18	216	'image'@en
P2281	201	'Apple Music album ID (U.S. version)'@en
P1411	193	'nominated for'@en
P736	192	'cover art by'@en
P86	186	'composer'@en
P676	184	'lyrics by'@en
P166	174	'award received'@en
P17	140	'country'@en
P345	132	'IMDb ID'@en
P4839	117	'Wolfram Language entity code'@en
P4199	110	'Google Play Music album ID (former scheme)'@en
P7067	108	'Album of the Year album ID'@en
P8435	107	'AnyDecentMusic album ID'@en
P825	105	'dedicated to'@en
P527	101	'has part or parts'@en
P8345	99	'media franchise'@en
P138	98	'named after'@en
P571	85	'inception'@en
P154	85	'logo image'@en
P435	83	'MusicBrainz work ID'@en
P4577	81	'Tidal album ID'@en
P373	73	'Commons category'@en
P3962	72	'Global Trade Item Number'@en
P214	71	'VIAF ID'@en
P2603	68	'Kinopoisk film ID'@en
P2014	62	'Museum of Modern Art work ID'@en
P767	50	'contributor to the creative work or subject'@en
P3040	50	'SoundCloud ID'@en
P3300	49	'musical conductor'@en
P170	49	'creator'@en
P6262	47	'Fandom article ID'@en
P1449	47	'nickname'@en
P161	44	'cast member'@en
P1874	43	'Netflix ID'@en
P7055	42	'Jaxsta release ID'@en
P8663	41	'Maniadb album ID'@en
P243	41	'OCLC control number'@en
P195	41	'collection'@en
P4947	40	'TMDb movie ID'@en
P1651	40	'YouTube video ID'@en
P57	39	'director'@en
P4027	39	'National Discography of Italian Song work ID'@en
P5144	38	'Bugs! album ID'@en
P144	38	'based on'@en
P747	37	'has edition or translation'@en
