domain	property	range	count
Q482994	P10030	external-id	1
Q482994	P10100	external-id	1
Q482994	P10135	time	22
Q482994	P10138	external-id	1
Q482994	P10178	external-id	6
Q482994	P10262	external-id	410
Q10590726	P10262	external-id	1
Q131765	P10262	external-id	1
Q17518461	P10262	external-id	1
Q2031291	P10262	external-id	1
Q3331189	P10262	external-id	1
Q482994	P10283	external-id	2
Q482994	P10291	external-id	6
Q2031291	P1054	external-id	1
Q482994	P1054	external-id	1
Q482994	P1113	quantity	2
Q1368086	P1114	quantity	1
Q178588	P1114	quantity	1
Q193395	P1114	quantity	1
Q234870	P1114	quantity	1
Q482994	P1114	quantity	1
Q482994	P1144	external-id	4
Q482994	P1191	time	2
Q482994	P1219	external-id	3
Q182832	P1219	external-id	1
Q482994	P1225	external-id	1
Q482994	P1236	external-id	1
Q482994	P1256	external-id	1
Q482994	P1258	external-id	7
Q11424	P1258	external-id	2
Q430525	P1258	external-id	2
Q482994	P1259	globe-coordinate	356
Q169930	P1259	globe-coordinate	1
Q1800833	P1259	globe-coordinate	1
Q11424	P1265	external-id	2
Q482994	P1265	external-id	2
Q482994	P1292	external-id	17
Q482994	P1296	external-id	1
Q482994	P1316	external-id	229
Q482994	P1407	external-id	28
Q131765	P1407	external-id	1
Q482994	P1417	external-id	654
Q131765	P1417	external-id	1
Q1997853	P1417	external-id	1
Q2565300	P1417	external-id	1
Q394970	P1417	external-id	1
Q482994	P1430	external-id	1
Q482994	P1448	monolingualtext	3
Q482994	P1449	monolingualtext	47
Q394970	P1449	monolingualtext	1
Q482994	P1451	monolingualtext	1
Q482994	P1476	monolingualtext	9004
Q169930	P1476	monolingualtext	24
Q10590726	P1476	monolingualtext	20
Q394970	P1476	monolingualtext	15
Q11424	P1476	monolingualtext	13
Q1997853	P1476	monolingualtext	11
Q134556	P1476	monolingualtext	7
Q430525	P1476	monolingualtext	5
Q2031291	P1476	monolingualtext	3
Q2073093	P1476	monolingualtext	3
Q105420	P1476	monolingualtext	2
Q17518461	P1476	monolingualtext	2
Q220935	P1476	monolingualtext	2
Q59557805	P1476	monolingualtext	2
Q105543609	P1476	monolingualtext	1
Q1295240	P1476	monolingualtext	1
Q131765	P1476	monolingualtext	1
Q1573906	P1476	monolingualtext	1
Q182832	P1476	monolingualtext	1
Q208569	P1476	monolingualtext	1
Q215380	P1476	monolingualtext	1
Q24862	P1476	monolingualtext	1
Q2565300	P1476	monolingualtext	1
Q2712714	P1476	monolingualtext	1
Q3331189	P1476	monolingualtext	1
Q368281	P1476	monolingualtext	1
Q4274081	P1476	monolingualtext	1
Q47461344	P1476	monolingualtext	1
Q5398426	P1476	monolingualtext	1
Q57976524	P1476	monolingualtext	1
Q7725634	P1476	monolingualtext	1
Q98645843	P1476	monolingualtext	1
Q482994	P154	commonsMedia	85
Q482994	P1562	external-id	17
Q11424	P1562	external-id	4
Q10590726	P1562	external-id	2
Q430525	P1562	external-id	1
Q482994	P1617	external-id	1
Q482994	P1638	monolingualtext	2
Q482994	P1651	external-id	40
Q134556	P1651	external-id	6
Q11424	P1651	external-id	1
Q7366	P1651	external-id	1
Q482994	P1680	monolingualtext	378
Q394970	P1680	monolingualtext	3
Q105420	P1680	monolingualtext	2
Q10590726	P1680	monolingualtext	2
Q482994	P1705	monolingualtext	8
Q482994	P1712	external-id	5225
Q10590726	P1712	external-id	3
Q394970	P1712	external-id	3
Q11424	P1712	external-id	2
Q2031291	P1712	external-id	2
Q134556	P1712	external-id	1
Q169930	P1712	external-id	1
Q17518461	P1712	external-id	1
Q215380	P1712	external-id	1
Q2565300	P1712	external-id	1
Q3331189	P1712	external-id	1
Q430525	P1712	external-id	1
Q482994	P1728	external-id	2
Q215380	P1728	external-id	1
Q482994	P1729	external-id	13607
Q10590726	P1729	external-id	21
Q169930	P1729	external-id	12
Q1997853	P1729	external-id	9
Q394970	P1729	external-id	6
Q134556	P1729	external-id	5
Q430525	P1729	external-id	4
Q11424	P1729	external-id	3
Q2031291	P1729	external-id	2
Q105543609	P1729	external-id	1
Q1261214	P1729	external-id	1
Q15116915	P1729	external-id	1
Q1573906	P1729	external-id	1
Q17518461	P1729	external-id	1
Q1800833	P1729	external-id	1
Q2073093	P1729	external-id	1
Q208569	P1729	external-id	1
Q2565300	P1729	external-id	1
Q2619673	P1729	external-id	1
Q2712714	P1729	external-id	1
Q30592710	P1729	external-id	1
Q3331189	P1729	external-id	1
Q368281	P1729	external-id	1
Q4274081	P1729	external-id	1
Q482994	P18	commonsMedia	216
Q10590726	P18	commonsMedia	2
Q105543609	P18	commonsMedia	1
Q134556	P18	commonsMedia	1
Q1368086	P18	commonsMedia	1
Q178588	P18	commonsMedia	1
Q193395	P18	commonsMedia	1
Q234870	P18	commonsMedia	1
Q430525	P18	commonsMedia	1
Q7366	P18	commonsMedia	1
Q482994	P1810	string	1
Q482994	P1813	monolingualtext	1
Q482994	P1814	string	19
Q169930	P1814	string	1
Q482994	P1874	external-id	43
Q10590726	P1874	external-id	3
Q11424	P1874	external-id	2
Q215380	P1902	external-id	1
Q482994	P1902	external-id	1
Q482994	P1942	string	1
Q482994	P1953	external-id	16
Q215380	P1953	external-id	2
Q482994	P1954	external-id	38301
Q10590726	P1954	external-id	33
Q169930	P1954	external-id	25
Q134556	P1954	external-id	19
Q1997853	P1954	external-id	17
Q11424	P1954	external-id	14
Q394970	P1954	external-id	10
Q430525	P1954	external-id	6
Q5151485	P1954	external-id	6
Q105543609	P1954	external-id	5
Q1261214	P1954	external-id	4
Q15116915	P1954	external-id	4
Q2073093	P1954	external-id	3
Q215380	P1954	external-id	3
Q2619673	P1954	external-id	3
Q368281	P1954	external-id	3
Q4274081	P1954	external-id	3
Q105420	P1954	external-id	2
Q17518461	P1954	external-id	2
Q1850936	P1954	external-id	2
Q7366	P1954	external-id	2
Q1173065	P1954	external-id	1
Q1368086	P1954	external-id	1
Q1573906	P1954	external-id	1
Q178588	P1954	external-id	1
Q1800833	P1954	external-id	1
Q193395	P1954	external-id	1
Q2031291	P1954	external-id	1
Q208569	P1954	external-id	1
Q21997607	P1954	external-id	1
Q220935	P1954	external-id	1
Q234870	P1954	external-id	1
Q2565300	P1954	external-id	1
Q2712714	P1954	external-id	1
Q30592710	P1954	external-id	1
Q3331189	P1954	external-id	1
Q506240	P1954	external-id	1
Q559618	P1954	external-id	1
Q57976524	P1954	external-id	1
Q7725634	P1954	external-id	1
Q838948	P1954	external-id	1
Q482994	P1955	external-id	2
Q11424	P1970	external-id	1
Q482994	P1970	external-id	1
Q482994	P1978	external-id	1
Q482994	P1994	external-id	2
Q105543609	P1994	external-id	1
Q482994	P2001	string	1
Q482994	P2002	external-id	33
Q482994	P2003	external-id	1
Q482994	P2013	external-id	24
Q482994	P2014	external-id	62
Q482994	P2031	time	22
Q215380	P2031	time	2
Q482994	P2047	quantity	3623
Q11424	P2047	quantity	8
Q10590726	P2047	quantity	7
Q169930	P2047	quantity	6
Q1997853	P2047	quantity	6
Q394970	P2047	quantity	4
Q4274081	P2047	quantity	3
Q1173065	P2047	quantity	2
Q1295240	P2047	quantity	2
Q430525	P2047	quantity	2
Q131765	P2047	quantity	1
Q134556	P2047	quantity	1
Q17518461	P2047	quantity	1
Q2031291	P2047	quantity	1
Q2073093	P2047	quantity	1
Q2565300	P2047	quantity	1
Q2712714	P2047	quantity	1
Q3331189	P2047	quantity	1
Q59557805	P2047	quantity	1
Q482994	P2093	string	5
Q10590726	P212	external-id	1
Q482994	P212	external-id	1
Q482994	P213	external-id	2
Q215380	P213	external-id	1
Q482994	P214	external-id	71
Q215380	P214	external-id	2
Q482994	P2163	external-id	1
Q482994	P2205	external-id	8252
Q10590726	P2205	external-id	10
Q1997853	P2205	external-id	6
Q394970	P2205	external-id	4
Q105420	P2205	external-id	2
Q134556	P2205	external-id	2
Q105543609	P2205	external-id	1
Q11424	P2205	external-id	1
Q1573906	P2205	external-id	1
Q17518461	P2205	external-id	1
Q2031291	P2205	external-id	1
Q220935	P2205	external-id	1
Q2831984	P2205	external-id	1
Q430525	P2205	external-id	1
Q482994	P2206	external-id	897
Q394970	P2206	external-id	5
Q10590726	P2206	external-id	3
Q11424	P2206	external-id	1
Q1368086	P2206	external-id	1
Q178588	P2206	external-id	1
Q193395	P2206	external-id	1
Q2031291	P2206	external-id	1
Q234870	P2206	external-id	1
Q430525	P2206	external-id	1
Q482994	P2207	external-id	2
Q134556	P2207	external-id	1
Q482994	P227	external-id	34
Q482994	P2281	external-id	201
Q482994	P2284	quantity	1
Q482994	P2347	external-id	1
Q482994	P2373	external-id	2
Q482994	P243	external-id	41
Q10590726	P243	external-id	1
Q482994	P2437	quantity	1
Q5398426	P2437	quantity	1
Q482994	P244	external-id	24
Q215380	P244	external-id	1
Q482994	P2465	external-id	1
Q482994	P2513	external-id	3
Q482994	P2529	external-id	9
Q11424	P2529	external-id	6
Q10590726	P2529	external-id	2
Q24862	P2529	external-id	1
Q482994	P2581	external-id	2376
Q1997853	P2581	external-id	4
Q10590726	P2581	external-id	1
Q1173065	P2581	external-id	1
Q134556	P2581	external-id	1
Q1368086	P2581	external-id	1
Q1573906	P2581	external-id	1
Q17518461	P2581	external-id	1
Q178588	P2581	external-id	1
Q193395	P2581	external-id	1
Q2031291	P2581	external-id	1
Q234870	P2581	external-id	1
Q482994	P2603	external-id	68
Q11424	P2603	external-id	14
Q10590726	P2603	external-id	6
Q1261214	P2603	external-id	6
Q15116915	P2603	external-id	6
Q131765	P2603	external-id	1
Q1850936	P2603	external-id	1
Q24862	P2603	external-id	1
Q430525	P2603	external-id	1
Q506240	P2603	external-id	1
Q482994	P2624	external-id	23
Q134556	P2624	external-id	7
Q11424	P2631	external-id	1
Q482994	P2631	external-id	1
Q482994	P2635	quantity	3808
Q394970	P2635	quantity	6
Q10590726	P2635	quantity	2
Q1997853	P2635	quantity	2
Q1295240	P2635	quantity	1
Q1368086	P2635	quantity	1
Q178588	P2635	quantity	1
Q193395	P2635	quantity	1
Q2031291	P2635	quantity	1
Q2073093	P2635	quantity	1
Q234870	P2635	quantity	1
Q368281	P2635	quantity	1
Q11424	P2638	external-id	2
Q482994	P2638	external-id	2
Q482994	P2664	quantity	6
Q482994	P2671	external-id	737
Q10590726	P2671	external-id	3
Q11424	P2671	external-id	1
Q1261214	P2671	external-id	1
