domain	property	range	count
Q5	P1000	Q1241356	3
Q5	P101	Q2695280	769
Q5	P101	Q188451	437
Q5	P101	Q11862829	375
Q5	P101	Q56055944	327
Q5	P101	Q1047113	167
Q5	P101	Q4671286	128
Q5	P101	Q862597	108
Q5	P101	Q107487333	104
Q5	P101	Q7777573	91
Q5	P101	Q110013851	82
Q5	P101	Q4263830	62
Q5	P101	Q1799072	52
Q5	P101	Q6630149	51
Q5	P101	Q109598321	50
Q5	P101	Q12737077	49
Q5	P101	Q1792644	48
Q5	P101	Q2465832	48
Q5	P101	Q28640	48
Q5	P101	Q66715801	43
Q5	P101	Q2267705	29
Q5	P101	Q268592	25
Q5	P101	Q4164871	25
Q5	P101	Q627436	21
Q5	P101	Q108300140	17
Q5	P101	Q11921029	17
Q5	P101	Q1792379	17
Q5	P101	Q1914636	16
Q5	P101	Q20202269	15
Q5	P101	Q45971958	15
Q5	P101	Q28598684	14
Q5	P101	Q223393	13
Q5	P101	Q11177771	12
Q5	P101	Q12020884	12
Q5	P101	Q336	12
Q5	P101	Q107357104	11
Q5	P101	Q1936384	11
Q5	P101	Q475023	11
Q5	P101	Q22811234	10
Q5	P101	Q4162444	10
Q5	P101	Q28813620	9
Q5	P101	Q3958441	9
Q5	P101	Q41511	9
Q5	P101	Q8148	9
Q5	P101	Q12015335	7
Q5	P101	Q589183	7
Q5	P101	Q106834231	6
Q5	P101	Q17489659	6
Q5	P101	Q735	6
Q5	P101	Q106720965	5
Q5	P101	Q11790203	5
Q5	P101	Q1437361	5
Q5	P101	Q151885	5
Q5	P101	Q1665984	5
Q5	P101	Q483394	5
Q5	P101	Q930752	5
Q5	P101	Q105756498	4
Q5	P101	Q107356781	4
Q5	P101	Q108161738	4
Q5	P101	Q109551565	4
Q5	P101	Q75054287	4
Q5	P101	Q106537557	3
Q5	P101	Q1408286	3
Q5	P101	Q17524420	3
Q5	P101	Q20643324	3
Q5	P101	Q2198855	3
Q5	P101	Q234460	3
Q5	P101	Q5	3
Q5	P101	Q60680430	3
Q5	P101	Q968159	3
Q5	P101	Q97430452	3
Q5	P101	Q99397804	3
Q159979	P101	Q2695280	2
Q5	P101	Q108317211	2
Q5	P101	Q108823158	2
Q5	P101	Q110295396	2
Q5	P101	Q11033	2
Q5	P101	Q11488158	2
Q5	P101	Q11635	2
Q5	P101	Q121359	2
Q5	P101	Q1288568	2
Q5	P101	Q12909644	2
Q5	P101	Q1553864	2
